IPO,Year,Revenue,Profit,TotalAssets,TotalLiabilities,Equity,TotalDebt,DebtEquityRatio,NetProfitMargin,ROA,RevenueGrowth,ProfitGrowth,Revenue_ratio,Profit_ratio,TotalAssets_ratio,TotalLiabilities_ratio,Equity_ratio,TotalDebt_ratio
AYE FINANCE LIMITED - RHP,2023,,,,,,,,,,,,,,,,,
AYE FINANCE LIMITED - RHP,2024,,,,,,,,,,,,,,,,,
AYE FINANCE LIMITED - RHP,2025,,30.0,,,,,,,,,,,30.0,,,,
BCCL,2023,36.18,0.52,,,,,,1.4372581536760642,,,,36.18,0.52,,,,
BCCL,2024,40.5041,0.28,,,65512.3053554,,,0.6912880424450859,,11.951630735212838,-46.15384615384615,40.5041,0.28,,,65512.3053554,
BCCL,2025,19.09,0.06,,,60597.4,,,0.3143006809848088,,-52.86896882044041,-78.57142857142858,19.09,0.06,,,60597.4,
Bharat Coking Coal Limited - RHP,2023,6.85,5.11,-4446.2,0.0,19.22,-668.0,-34.755463059313215,74.59854014598541,-0.1149296028068912,,,6.85,5.11,-4446.2,0.0,19.22,-668.0
Bharat Coking Coal Limited - RHP,2024,1.0,10.56,-1414.6,0.0,4.0,-1297.8,-324.45,1056.0,-0.7465007776049768,-85.40145985401459,106.65362035225048,1.0,10.56,-1414.6,0.0,4.0,-1297.8
Bharat Coking Coal Limited - RHP,2025,1.0,1.96,6813.0,0.0,4.0,-1539.3,-384.825,196.0,0.0287685307500366,0.0,-81.43939393939394,1.0,1.96,6813.0,0.0,4.0,-1539.3
CENTRAL MINE PLANNING _ DESIGN INSTITUTE LIMITED - RHP,2023,13860.9,2966.6,,,12176.5,,,21.402650621532512,,,,13860.9,2966.6,,,12176.5,
CENTRAL MINE PLANNING _ DESIGN INSTITUTE LIMITED - RHP,2024,17326.9,5032.3,,,20418.515916,0.0,0.0,29.04327952490059,,25.00559126752233,69.63190184049081,17326.9,5032.3,,,20418.515916,0.0
CENTRAL MINE PLANNING _ DESIGN INSTITUTE LIMITED - RHP,2025,21027.6,6669.1,,,17640.0,0.0,0.0,31.71593524700869,,21.35811945587496,32.525882797130535,21027.6,6669.1,,,17640.0,0.0
CLEAN MAX ENVIRO ENERGY SOLUTIONS LIMITED - RHP,2025,14957.01,51.0,100.0,31.0,0.43,,,0.3409772407720527,51.0,,,14957.01,51.0,100.0,31.0,0.43,
CLEAN MAX ENVIRO ENERGY SOLUTIONS LIMITED - RHP,2028,,,,,,,,,,,,,,,,,
CLEAN MAX ENVIRO ENERGY SOLUTIONS LIMITED - RHP,2029,,,,,,,,,,,,,,,,,
CORONA Remedies Limited - RHP,2023,31.0,-18.0,31.0,62.0,-31.0,4.38,,-58.06451612903226,-58.06451612903226,,,31.0,-18.0,31.0,62.0,-31.0,4.38
CORONA Remedies Limited - RHP,2024,31.0,-18.0,31.0,62.0,-31.0,0.96,,-58.06451612903226,-58.06451612903226,0.0,0.0,31.0,-18.0,31.0,62.0,-31.0,0.96
CORONA Remedies Limited - RHP,2025,31.0,-18.0,31.0,62.0,-31.0,0.26,,-58.06451612903226,-58.06451612903226,0.0,0.0,31.0,-18.0,31.0,62.0,-31.0,0.26
FRACTAL ANALYTICS LIMITED - RHP,2023,,,,,,,,,,,,,,,,,
FRACTAL ANALYTICS LIMITED - RHP,2024,,,,,,,,,,,,,,,,,
FRACTAL ANALYTICS LIMITED - RHP,2025,30.0,,,,,,,,,,,30.0,,,,,
GSP CROP SCIENCE LIMITED - RHP,2023,12033.09,-18.0,30.0,30.0,3637.85,,,-0.1495875124344619,-60.0,,,12033.09,-18.0,30.0,30.0,3637.85,
GSP CROP SCIENCE LIMITED - RHP,2024,11521.61,-18.0,30.0,30.0,3704.27,,,-0.1562281660288796,-60.0,-4.25061226999881,0.0,11521.61,-18.0,30.0,30.0,3704.27,
GSP CROP SCIENCE LIMITED - RHP,2025,8442.91,-18.0,30.0,30.0,5299.4,,,-0.2131966348095621,-60.0,-26.721091930728434,0.0,8442.91,-18.0,30.0,30.0,5299.4,
Groww Billionbrains Garage Ventures Limited - RHP,2023,446.2,4577.17,1072.0,,33167.5,7571.18,0.2282710484661189,1025.8112953832365,426.9748134328358,,,446.2,4577.17,1072.0,,33167.5,7571.18
Groww Billionbrains Garage Ventures Limited - RHP,2024,526.55,-8054.5,10890.09,,25426.36,20681.1,0.8133724213768703,-1529.6742949387524,-73.96173952648692,18.007619901389504,-275.9711786977543,526.55,-8054.5,10890.09,,25426.36,20681.1
Groww Billionbrains Garage Ventures Limited - RHP,2025,689.29,18243.73,12520.98,,48553.47,15964.86,0.3288098667304314,2646.7423000478752,145.70528824421092,30.906846453328264,-326.50356943323607,689.29,18243.73,12520.98,,48553.47,15964.86
ICICI Prudential Asset Management Company Limited - RHP,2023,5.0,53.4,,,70.0,1267.7,18.11,1068.0,,,,5.0,53.4,,,70.0,1267.7
ICICI Prudential Asset Management Company Limited - RHP,2024,926.1,54.5,28047.6,4917.0,23130.6,1498.6,0.0647886349683968,5.884893639995681,0.194312525848914,18422.0,2.0599250936329527,926.1,54.5,28047.6,4917.0,23130.6,1498.6
ICICI Prudential Asset Management Company Limited - RHP,2025,1666.8,53.2,35540.9,6712.5,28828.4,1721.2,0.05970501311207,3.191744660427166,0.1496866989862384,79.98056365403303,-2.3853211009174258,1666.8,53.2,35540.9,6712.5,28828.4,1721.2
INNOVISION LIMITED - RHP,2023,0.25,94.6,0.1,679.16,402.55,87.82,0.2181592348776549,37840.0,94600.0,,,0.25,94.6,0.1,679.16,402.55,87.82
