page,table_index,rows,cols,csv_file,csv_path
433,0,4,5,page_0433_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\AYE FINANCE LIMITED - RHP\dumped_tables\page_0433_table_00.csv
433,1,6,3,page_0433_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\AYE FINANCE LIMITED - RHP\dumped_tables\page_0433_table_01.csv
434,0,5,5,page_0434_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\AYE FINANCE LIMITED - RHP\dumped_tables\page_0434_table_00.csv
434,1,8,3,page_0434_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\AYE FINANCE LIMITED - RHP\dumped_tables\page_0434_table_01.csv
434,2,4,3,page_0434_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\AYE FINANCE LIMITED - RHP\dumped_tables\page_0434_table_02.csv
434,3,4,3,page_0434_table_03.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\AYE FINANCE LIMITED - RHP\dumped_tables\page_0434_table_03.csv
434,4,5,7,page_0434_table_04.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\AYE FINANCE LIMITED - RHP\dumped_tables\page_0434_table_04.csv
434,5,7,5,page_0434_table_05.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\AYE FINANCE LIMITED - RHP\dumped_tables\page_0434_table_05.csv
434,6,8,5,page_0434_table_06.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\AYE FINANCE LIMITED - RHP\dumped_tables\page_0434_table_06.csv
435,0,8,7,page_0435_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\AYE FINANCE LIMITED - RHP\dumped_tables\page_0435_table_00.csv
435,1,4,5,page_0435_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\AYE FINANCE LIMITED - RHP\dumped_tables\page_0435_table_01.csv
435,2,3,6,page_0435_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\AYE FINANCE LIMITED - RHP\dumped_tables\page_0435_table_02.csv
435,3,3,2,page_0435_table_03.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\AYE FINANCE LIMITED - RHP\dumped_tables\page_0435_table_03.csv
