Particulars,,"Six months period ended September 30,",,,,,"Six months period ended September 30,",,,
,,2025,,,,,2024,,,
,"Amount
(in ₹ million)",Amount,"Percentage of Total
Sales",Percentage of Total,,"Amount
(in ₹ million)",Amount,"Percentage of Total
Sales",Percentage of Total,
,,(in ₹ million),,Sales,,,(in ₹ million),,Sales,
"Power industry (including
captive power plants)","39,692.12",,75.46%,,,"45,264.07",,71.07%,,
Steel industry,"9,720.59",,18.48%,,,"13,158.49",,20.66%,,
Fertilizer industry,684.88,,1.30%,,,463.70,,0.73%,,
Cement industry,22.53,,0.04%,,,0.00,,0.00%,,
"Other non-regulated
sectors*","2,482.78",,4.72%,,,"4,800.54",,7.54%,,
Total,"52,602.90",,100.00%,,,"63,686.80",,100.00%,,
