,Sr.,,,Form / Return /,,Purpose / Details
,No.,,,document filed,,
1.,,,Form 2,,,"Allotment of 1,500 Equity Shares to Steel Authority of India Limited"
2.,,,Form 2,,,"Allotment of 7,500 Equity Shares to Steel Authority of India Limited"
3.,,,Form 2,,,"Allotment of 2,500 Equity Shares to Steel Authority of India Limited"
4.,,,Form 2,,,"Allotment of 30,400 shares to the President of India."
5.,,,Form 2,,,"Allotment of 60,000 shares to President of India"
6.,,,Form 2,,,"Allotment of 40,000 shares to President of India"
7.,,,Form 2,,,"Allotment of 35,000 shares to President of India"
8.,,,Form 2,,,"Allotment of 79,000 shares to Coal India Limited"
9.,,,Form 2,,,"Allotment of 60,000 shares to Coal India Limited"
10.,,,Form 2,,,"Allotment of 97,600 shares to Coal India Limited"
11.,,,Form 2,,,"Allotment of 30,000 shares to Coal India Limited"
12.,,,Form 2,,,"Allotment of 183,522 shares to Coal India Limited"
13.,,,Form 2,,,Allotment of Shares to nominees of Coal India Limited
14.,,,Form 2,,,"Allotment of 21,401 shares to Coal India Limited"
15.,,,Form 2,,,"Allotment of 1,000,000 shares to Coal India Limited"
16.,,,Form 2,,,"Allotment of 1,843,071 shares to Coal India Limited"
17.,,,Form 2,,,"Allotment of 1,000,000 shares to Coal India Limited"
18.,,,Form 2,,,"Allotment of 9,960,000 shares to Coal India Limited"
