,Form / Return /,,Purpose / Details,Corrective Measures Taken
,document filed,,,
Form 2,,,"Allotment of 1,500 Equity Shares to Steel Authority of India
Ltd.",Not Applicable
Form 2,,,"Allotment of 7,500 Equity Shares to Steel Authority of India
Ltd.",Not Applicable
Form 2,,,"Allotment of 2,500 Equity Shares to Steel Authority of India
Ltd.",Not Applicable
Form 23,,,Amendment of Memorandum & Articles of Association,Not Applicable
Form 2,,,"Allotment of 30,400 shares to the President of India.",Not Applicable
Form 2,,,"Allotment of 60,000 shares to President of India",Not Applicable
Form 2,,,"Allotment of 40,000 shares to President of India",Not Applicable
Form 2,,,"Allotment of 35,000 shares to President of India",Not Applicable
Form 2,,,"Allotment of 79,000 shares to Coal India Ltd.",Not Applicable
Form 2,,,"Allotment of 60,000 shares to Coal India Ltd.",Not Applicable
Form 2,,,"Allotment of 97,600 shares to Coal India Ltd.",Not Applicable
Form 2,,,"Allotment of 30,000 shares to Coal India Ltd.",Not Applicable
Form 2,,,"Allotment of 183,522 shares to Coal India Ltd.",Not Applicable
Form 2,,,Allotment of Shares to Coal India Ltd.nominees.,Not Applicable
Form 2,,,"Allotment of 21,401 shares to Coal India Ltd.",Not Applicable
Form 2,,,"Allotment of 1,000,000 shares to Coal India Ltd.",Not Applicable
Form 2,,,"Allotment of 1,843,071 shares to Coal India Ltd.",Not Applicable
Form 2,,,"Allotment of 1,000,000 shares to Coal India Ltd.",Not Applicable
Form 2,,,"Allotment of 9,960,000 shares to Coal India Ltd.",Not Applicable
Form 23,,,Shareholder approval for conversion of loan into equity,Not Applicable
Form 18,,,"Form 18 Registered Office change from Sijua (Dhanbad) to
Koyla Bhawan,",Not Applicable
