Mines*,"Total
Reserve^
(Million
Tonnes)",,Production,,,Production,,"Productio
n Level
for Fiscal
2025
(Million
Tonnes)","Production
Level for
Fiscal 2024
(Million
Tonnes)","Production
Level for
Fiscal 2023
(Million
Tonnes)"
,,,Level for,,,Level for,,,,
,,,six months,,,six months,,,,
,,,period,,,period,,,,
,,,ended,,,ended,,,,
,,,September,,,September,,,,
,,,"30, 2025",,,"30, 2024",,,,
,,,(Million,,,(Million,,,,
,,,Tonnes),,,Tonnes),,,,
Kharkharee Colliery,83.5,0.00,,,0.00,,,0.00,0.01,0.01
"Amalgamated Salanpur
Gaslitand Katras Choitudih
Colliery
(ASGKCC)",94.8,0.00,,,0.00,,,0.01,0.02,0.14
Loyabad Colliery,24.8,0.00,,,0.00,,,0.00,0.00,0.00
PB Project Colliery,73.1,0.01,,,0.00,,,0.00,0.00,0.00
Amlabad Colliery,16.6,0.00,,,0.00,,,0.00,0.00,0.00
"New Godhur-Kusunda-
Alkusa Colliery",10.7,0.69,,,0.68,,,1.44,1.21,1.03
New Godhur Kusunda UG,17.3,0.00,,,0.00,,,0.00,0.00,0.00
ADIC,39.6,0.36,,,0.31,,,0.85,0.79,0.64
Ena Colliery,40.7,0.40,,,1.17,,,2.93,3.00,2.55
Bastacolla Colliery,14.1,1.05,,,1.19,,,2.10,2.10,1.80
ROCP,14.7,0.02,,,0.56,,,0.56,2.16,1.64
"Amal Bera-Dobari-Kuya-
Ghanudih",47.9,0.25,,,0.17,,,1.91,2.80,2.72
Gopalichuck,3.3,0.19,,,0.18,,,0.45,0.36,0.17
Maheshpur,6.2,0.02,,,0.01,,,0.03,0.03,0.03
Kankanee,4.2,0.02,,,0.27,,,0.37,0.33,0.21
Bansdeopur,4.5,0.03,,,0.05,,,0.09,0.14,0.14
Bhowrah (North+South) UG,16.1,0.00,,,0.00,,,0.00,0.00,0.00
"Amalgamated Bhowrah North
South OCP",10.9,1.13,,,1.18,,,1.75,0.71,0.36
ASP colliery,14.9,0.03,,,0.08,,,0.14,0.41,0.43
Dahibari Basantimata,1.2,0.22,,,0.27,,,0.52,0.55,0.63
Kalyaneshwari OCP,70.0,0.04,,,0.00,,,0.13,0.00,0.00
Moonidih- Seam XV,23.4,0.13,,,0.24,,,0.49,0.48,0.55
"Amal Joyrampur- Mega Patch
D",14.5,0.21,,,0.36,,,0.81,0.71,0.00
Kendwadih Patch,2.0,0.00,,,0.00,,,0.00,0.00,0.00
Total,"1,495.4",15.75,,,19.09,,,40.50,41.10,36.18
