,,Amount,,"Percentage of
Total Sales",Percentage of,,,Amount,,"Percentage of
Total Sales",Percentage of,,,Amount,,"Percentage of
Total Sales",Percentage of,
,,(in ₹,,,Total Sales,,,(in ₹,,,Total Sales,,,(in ₹,,,Total Sales,
,,million),,,,,,million),,,,,,million),,,,
"Power industry
(including
captive power
plants)","96,787.00",,,73.98%,,,"91,715.80",,,69.68%,,,"80,184.22",,,64.94%,,
Steel industry,"23,751.50",,,18.15%,,,"24,585.10",,,18.68%,,,"22,615.50",,,18.31%,,
Fertilizer industry,"1,051.10",,,0.80%,,,"1,274.90",,,0.97%,,,"1,014.30",,,0.82%,,
Cement industry,137.74,,,0.11%,,,192.08,,,0.15%,,,23.74,,,0.02%,,
"Other non-
regulated
sectors*","9,105.26",,,6.96%,,,"13,843.12",,,10.52%,,,"19,653.64",,,15.91%,,
Total,"130,832.60",,,100.00%,,,"131,611.00",,,100.00%,,,"123,491.40",,,100.00%,,
,,Amount,,,Percentage of,,,Amount,,,Percentage of,,,Amount,,,Percentage of,
,,(in ₹,,,Total Expenses,,,(in ₹,,,Total Expenses,,,(in ₹,,,Total Expenses,
,,million),,,(%),,,million),,,(%),,,million),,,(%),
"Employee
benefits expense","65,423.74",,,51.52%,,,"69,506.70",,,55.34%,,,"71,479.30",,,57.24%,,
,,Amount,,,Percentage of,,,Amount,,,Percentage of,,,Amount,,,Percentage of,
,,(in ₹,,,Total Assets,,,(in ₹,,,Total Assets,,,(in ₹,,,Total Assets,
,,million),,,(%),,,million),,,(%),,,million),,,(%),
"Property Plant
and Equipment","42,644.10",,,24.67%,,,"34,385.70",,,23.34%,,,"29,078.10",,,21.84%,,
