Particulars,Reserves & Surplus,,,,,Total
,"Capital
Redemption
reserve",Capital Reserve,General Reserve,Retained Earnings,"OCI - Re-
measurement of
Defined Benefits
Plans (net of Tax)",
"Balance as at April 01, 2022",-,-,"1 ,409.90","(16,717.60)","1,475.40","(13,832.30)"
Total Comprehensive Income,,,,"6 ,647.80","( 1,346.50)","5 ,301.30"
Transfers and Other Adjustments,,,,,,-
Interim Dividend,,,,,,-
Final Dividend,,,,,,-
Corporate Dividend tax,,,,,,-
Buy Back of Shares,,,,,,
Tax on Buy back,,,,,,-
Issue of Bonus Shares,,,,,,-
"Balance as at March 31, 2023",-,-,"1,409.90","(10,069.80)",128.90,"(8,531.00)"
