,"Other
Stripping
Freehold Site Restoration Plant and Furniture Office Telecomm- Railway Mining Surveyed off Solar and
Other Land Building Vehicles Activity Rail Corridor
Land Costs Equipment and Fixtures Equipment unication Sidings Infrastruct Assets Other Assets
Assets
ure",,,,,,,,,,,,,,,Total
"As at April 01, 2022",-,-,15.20,5.50,143.70,-,-,-,-,-,657.30,-,20.90,-,-,842.60
Additions,-,-,-,-,-,-,-,-,-,-,47.20,-,-,-,-,47.20
Deletions/Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,(1.00),-,-,(1.00)
"As at March 31, 2023",0.00,0.00,15.20,5.50,143.70,0.00,0.00,0.00,0.00,0.00,704.50,0.00,19.90,0.00,0.00,888.80
"As at April 01, 2023",-,-,15.20,5.50,143.70,-,-,-,-,-,704.50,-,19.90,-,-,888.80
Additions,-,-,20.00,-,0.50,-,-,-,-,-,12.00,-,-,-,-,32.50
Deletions/Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,(2.30),-,-,(2.30)
"As at March 31, 2024",0.00,0.00,35.20,5.50,144.20,0.00,0.00,0.00,0.00,0.00,716.50,0.00,17.60,0.00,0.00,919.00
"As at April 01, 2024",-,-,35.20,5.50,144.20,-,-,-,-,-,716.50,-,17.60,-,-,919.00
Additions,-,-,-,13.20,33.40,-,-,-,-,-,(135.50),-,-,-,-,(88.90)
Deletions/Adjustments,-,-,-,2.40,4.00,-,-,-,-,-,-,-,-,-,-,6.40
"As at March 31, 2025",0.00,0.00,35.20,21.10,181.60,0.00,0.00,0.00,0.00,0.00,581.00,0.00,17.60,0.00,0.00,836.50
"As at April 01, 2024",-,-,35.20,5.50,144.20,-,-,-,-,-,716.50,-,17.60,-,-,919.00
Additions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Deletions/Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"As at September 30, 2024",0.00,0.00,35.20,5.50,144.20,0.00,0.00,0.00,0.00,0.00,716.50,0.00,17.60,0.00,0.00,919.00
"As at April 01, 2025",-,-,35.20,21.10,181.60,-,-,-,-,-,581.00,-,17.60,-,-,836.50
Additions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00
Deletions/Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"As at September 30, 2025",0.00,0.00,35.20,21.10,181.60,0.00,0.00,0.00,0.00,0.00,581.00,0.00,17.60,0.00,0.00,836.50
