,"Amount in Capital work in Progress as at March 31, 2025",,,,
,"Less than 1
year",1-2 years,2-3 years,"More than 3
years",Total
Projects in progress:,,,,,
"Building (including water supply, roads and
culverts)",795.80,5 06.60,2 05.60,"1 ,682.40","3,190.40"
Plant and Equipment,"1,193.80",9 36.30,6 29.20,8 29.70,"3,589.00"
Railway Sidings,445.80,2 92.70,8 12.00,"1 ,020.30","2,570.80"
Other Mining infrastructure/Development,"1,101.50",8 06.00,"1 ,007.30","2 ,141.50","5,056.30"
Rail Corridor under Construction,-,-,-,-,-
Solar Project,"1,242.80",8 59.80,-,-,"2,102.60"
Others,-,-,-,-,-
Projects temporarily suspended:,,,,,
Kapuria Block,,,,65.00,65.00
Total,"4,779.70","3 ,401.40","2 ,654.10","5 ,738.90","16,574.10"
