Particulars,Unbilled Dues,Outstanding for following periods from transaction date,,,,,Total
,,"Less than 6
months",6 months 1 year,1-2 years,2-3 years,"More than
3 years",
(i) Undisputed Trade receivables – considered good,,"11,031.00",1 96.30,9 9.30,6 7.80,"1,117.10","12,511.50"
(ii) Undisputed Trade Receivables – which have significant increase in credit risk,,-,-,-,-,-,-
(iii) Undisputed Trade Receivables – credit impaired,,-,-,-,-,-,-
(iv) Disputed Trade Receivables– considered good,,-,-,-,-,-,-
(v) Disputed Trade Receivables– which have significant increase in credit risk,,-,-,-,-,-,-
(vi) Disputed Trade Receivables – credit impaired,,-,-,-,-,-,-
Total,-,"11,031.00",1 96.30,9 9.30,6 7.80,"1,117.10","12,511.50"
Allowance for expected credit loss,-,,,,,,-
Expected credit losses (Loss allowance provision) - %,,,,,,,
