Name,Designation,"Date (if joined/ceased during the financial
year)"
Shri Samiran Dutta,Chairman cum Managing Director,
Sri Debashish Nanda,Non-Executive Director; Government Nominee; Director (BD) CIL,
Sri Rakesh Kumar Sahay,Director (Finance),"Joined April 14, 2023"
Shri Sanjay Kumar Singh,Director (Technical/P&P/OP),"Ceased from June 30, 2023"
Shri Sanjay Kumar Singh,Director (Technical/OP),"Joined on October 10, 2023"
Shri Sanjay Kumar Singh,Director (Technical/P&P),"Additional Charge Joined October 10, 2023
Ceased January 11, 2024"
Shri Uday A Kaole,Director (Technical/OP),"Ceased from December 19, 2023"
Sri Shankar Nagachari,Director (Technical/P&P) Additional charge,"Joined January 12, 2024"
Sri Murlikrishna Ramaiah,Director (Personnel),
Shri Anandji Prasad,"Non-Executive Director (Project Advisor, MoC, Govt. Nominee)",
