Particulars,"As at
September 30, 2025",,"As at
September 30, 2024",
,FVTPL,Amortized cost,FVTPL,Amortized cost
Financial Assets,,,,
Investments:,,,,
Secured Bonds,0.00,0.00,0.00,0.00
Co-operative Shares,0.00,0.00,0.00,0.00
Mutual Fund/ ICD,0.00,0.00,22.60,0.00
Loans,0.00,0.00,0.00,0.00
Deposits & receivable,0.00,15619.20,0.00,11376.30
Trade receivables*,0.00,22025.20,0.00,14490.70
Cash & cash equivalents,0.00,4288.70,0.00,4233.90
Other Bank Balances,0.00,6501.90,0.00,7709.70
Financial Liabilities,,,,
Borrowings & Lease Liabilities,0.00,18075.00,0.00,2594.40
Trade payables,0.00,28650.40,0.00,11797.30
Security Deposit and Earnest money,0.00,6169.20,0.00,5926.90
Other Liabilities,0.00,20880.20,0.00,18629.10
