"Sl.
No.",Particulars,"As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
A,"Change in Defined Benefit Obligation
(DBO)",,,
1,DBO at end of prior period,"32,911.50","32,166.20","31,341.10"
2,Current service cost,436.90,433.40,957.30
3,Interest cost on the DBO,"2,154.70","2,207.50","2,002.20"
4,Curtailment (credit)/ cost,0.00,0.00,0.00
5,Settlement (credit)/ cost,0.00,0.00,0.00
6,Past service cost - plan amendments,0.00,"1,256.40",0.00
7,Acquisitions (credit)/ cost,0.00,0.00,0.00
8,Actuarial (gain)/loss - experience,(19.40),100.50,"2,680.20"
9,"Actuarial (gain)/loss - demographic
assumptions",0.00,0.00,0.00
10,"Actuarial (gain)/loss - financial
assumptions",795.10,601.90,"(1,020.00)"
11,Benefits paid directly by the Company,0.00,0.00,0.00
12,Benefits paid from plan assets,"(4,260.60)","(3,854.30)","(3,794.60)"
13,DBO at end of current period,"32,018.10","32,911.50","32,166.20"
