"Sr.
No.",Financial Parameters,,As at and,,,As at and,,Fiscal 2025,Fiscal 2024,Fiscal 2023
,,,for the,,,for the,,,,
,,,six-month,,,six-month,,,,
,,,period,,,period,,,,
,,,ended,,,ended,,,,
,,,Septembe,,,Septembe,,,,
,,,"r 30, 2025",,,"r 30, 2024",,,,
1,"Earnings Per Share (basic
and diluted)* (in ₹)(1)",0.27#,,,1.61#,,,2.66,3.36,1.43
2,"Return on Net Worth(2) (in
%)",2.00#,,,13.12#,,,20.83,34.21,19.22
3,"Net asset value (NAV) per
equity share(3)",12.52,,,13.01,,,14.07,11.50,8.14
4,EBITDA(4) (in ₹ million),"4,599.30",,,"13,734.70",,,"23,560.60","24,938.90","8,913.10"
5,"Revenue from Operations(5)
(in ₹ million)","56,590.20",,,"68,461.90",,,"138,025.50","142,458.60","126,240.60"
