"Particul
ars",,Six months,,,,,,Six months,,,,,Fiscal 2025,,,,,,Fiscal 2024,,,,,,Fiscal 2023,,,,,
,,period ended,,,,,,period ended,,,,,,,,,,,,,,,,,,,,,,
,,"September 30,",,,,,,"September 30,",,,,,,,,,,,,,,,,,,,,,,
,,2025,,,,,,2024,,,,,,,,,,,,,,,,,,,,,,
,,Amou,,,Percent,,,Amou,,,Percent,,,Amoun,,,Percent,,,Amoun,,,Percent,,,Amoun,,,Percent,
,,nt,,,age of,,,nt,,,age of,,,t,,,age of,,,t,,,age of,,,t,,,age of,
,,(in ₹,,,Total,,,(in ₹,,,Total,,,(in ₹,,,Total,,,(in ₹,,,Total,,,(in ₹,,,Total,
,,millio,,,Sales,,,millio,,,Sales,,,million,,,Sales,,,million,,,Sales,,,million,,,Sales,
,,n),,,(%),,,n),,,(%),,,),,,(%),,,),,,(%),,,),,,(%),
"Raw
coal","41,760
.12",,,79.38%,,,"48,271
.17",,,75.79%,,,"101,690
.37",,,77.72%,,,"101,784
.08",,,77.34%,,,"95,925.
90",,,77.68%,,
"Washed
coal","6,967.
90",,,13.25%,,,"10,507
.91",,,16.50%,,,"19,111.
32",,,14.61%,,,"20,450.
90",,,15.54%,,,"16,892.
60",,,13.68%,,
"Other
by-
products
*","3,874.
88",,,7.37%,,,"4,907.
72",,,7.71%,,,"10,030.
91",,,7.67%,,,"9,376.0
2",,,7.12%,,,"10,672.
90",,,8.64%,,
Total,"52,602
.9",,,"100.00
%",,,"63,686
.80",,,"100.00
%",,,"130,832
.60",,,"100.00
%",,,"131,611
.00",,,"100.00
%",,,"123,491
.40",,,"100.00
%",,
