,Six Months period,Six Months period,Fiscal 2025,Fiscal 2024,Fiscal 2023
,"ended September 30,",ended September,,,
Particulars,,,,,
,2025,"30, 2024",,,
,"(in ₹ million, unless otherwise stated)",,,,
Profit before tax (A),"1,993.40","11,240.40","17,028.90","20,916.70","5,301.90"
Finance Costs (B),600.50,321.90,724.90,618.30,556.90
"Earnings Before
Interest and Tax (EBIT)
(C = A + B)","2,593.90","11,562.30","17,753.80","21,535.00","5,858.80"
"Equity Share Capital
(D)","46,570.00","46,570.00","46,570.00","46,570.00","46,570.00"
Other Equity (E),"18,057.30","6,647.20","6,647.20","(8,531.00)","(13,832.30)"
"Opening Capital
Employed (F = D + E)","64,627.30","53,217.20","53,217.20","38,039.00","32,737.70"
"Equity Share Capital
(G)","46,570.00","46,570.00","46,570.00","46,570.00","46,570.00"
Other Equity (H),"10,065.20","11,842.80","18,057.30","6,647.20","(8,531.00)"
"Closing Capital
Employed (I = G + H)","56,635.20","58,412.80","64,627.30","53,217.20","38,039.00"
"Average Capital
Employed (J - (F + I)/2","60,631.25","55,815.00","58,922.25","45,628.10","35,388.35"
"Return on Average
Capital Employed",4.28%*,20.72%*,30.13%,47.20%,16.56%
