Particulars,,Six Months,,,Six Months,,Fiscal 2025,Fiscal 2024,Fiscal 2023,
,,period ended,,,period ended,,,,,
,,"September 30,",,,September,,,,,
,,2025,,,"30, 2024",,,,,
,,(in ₹ million),,,,,,,,
"Net cash flow generated from
operating activities (A)","(3,349.30)",,,"10,148.10",,,"7,964.90","12,991.40","16,987.80",
"Net cash used in investing activities
(B)",(651.60),,,"(7,881.30)",,,"(7,823.10)","(14,844.20)","(17,058.30)",
"Net cash flows used in financing
activities (C)","3,804.40",,,(891.10),,,"(1,324.60)",(738.40),(429.70),
"Net increase/(decrease) in cash and
cash equivalents (A+B+C)",(196.50),,,"1,375.70",,,"(1,182.80)","(2,591.20)",(500.20),
"Cash and cash equivalents at the
beginning of the year","1,675.40",,,"2,858.20",,,"2,858.20","5,449.40","5,949.60",
"Cash and cash equivalents at the end
of the year","1,478.90",,,"4,233.90",,,"1,675.40","2,858.20","5,449.40",
