Particulars,,"As of September 30, 2025",
,,(in ₹ million),
Central Government,,,
Income Tax,"3,844.40",,
Sales Tax: CST,"1,527.40",,
Central Excise,885.30,,
Service Tax,54.50,,
Sub-Total,"6,311.60",,
State Government and local authority,,,
Sales Tax: VAT,"1,689.90",,
GST,"2,180.90",,
Royalty,558.80,,
Holding Tax,"2,522.30",,
Electricity Duty,231.70,,
Others Statutory Dues (RE/PE Cess),82.80,,
Sub-Total,"7,266.40",,
Central Public Sector Enterprises,,,
Sub- Total,-,,
Others,,,
Suits against the Company under litigation,"9,591.80",,
Arbitration proceedings,"11,970.10",,
Misc (Land),846.00,,
Sub-Total,"22,407.90",,
Grand Total,"35,985.90",,
