page,table_index,rows,cols,csv_file,csv_path
313,0,2,6,page_0313_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Bharat Coking Coal Limited - RHP\dumped_tables\page_0313_table_00.csv
314,0,2,6,page_0314_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Bharat Coking Coal Limited - RHP\dumped_tables\page_0314_table_00.csv
315,0,2,6,page_0315_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Bharat Coking Coal Limited - RHP\dumped_tables\page_0315_table_00.csv
316,0,5,7,page_0316_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Bharat Coking Coal Limited - RHP\dumped_tables\page_0316_table_00.csv
317,0,3,3,page_0317_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Bharat Coking Coal Limited - RHP\dumped_tables\page_0317_table_00.csv
318,0,4,3,page_0318_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Bharat Coking Coal Limited - RHP\dumped_tables\page_0318_table_00.csv
319,1,2,6,page_0319_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Bharat Coking Coal Limited - RHP\dumped_tables\page_0319_table_01.csv
320,0,2,6,page_0320_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Bharat Coking Coal Limited - RHP\dumped_tables\page_0320_table_00.csv
321,0,2,6,page_0321_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Bharat Coking Coal Limited - RHP\dumped_tables\page_0321_table_00.csv
322,0,9,7,page_0322_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Bharat Coking Coal Limited - RHP\dumped_tables\page_0322_table_00.csv
322,3,3,3,page_0322_table_03.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Bharat Coking Coal Limited - RHP\dumped_tables\page_0322_table_03.csv
323,0,5,3,page_0323_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Bharat Coking Coal Limited - RHP\dumped_tables\page_0323_table_00.csv
323,1,3,3,page_0323_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Bharat Coking Coal Limited - RHP\dumped_tables\page_0323_table_01.csv
324,0,2,3,page_0324_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Bharat Coking Coal Limited - RHP\dumped_tables\page_0324_table_00.csv
325,0,2,3,page_0325_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Bharat Coking Coal Limited - RHP\dumped_tables\page_0325_table_00.csv
325,1,2,6,page_0325_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Bharat Coking Coal Limited - RHP\dumped_tables\page_0325_table_01.csv
326,0,3,6,page_0326_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Bharat Coking Coal Limited - RHP\dumped_tables\page_0326_table_00.csv
327,0,2,6,page_0327_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Bharat Coking Coal Limited - RHP\dumped_tables\page_0327_table_00.csv
327,1,5,3,page_0327_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Bharat Coking Coal Limited - RHP\dumped_tables\page_0327_table_01.csv
327,2,2,3,page_0327_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Bharat Coking Coal Limited - RHP\dumped_tables\page_0327_table_02.csv
328,0,2,3,page_0328_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Bharat Coking Coal Limited - RHP\dumped_tables\page_0328_table_00.csv
329,0,3,3,page_0329_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Bharat Coking Coal Limited - RHP\dumped_tables\page_0329_table_00.csv
334,0,10,6,page_0334_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Bharat Coking Coal Limited - RHP\dumped_tables\page_0334_table_00.csv
334,1,3,6,page_0334_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Bharat Coking Coal Limited - RHP\dumped_tables\page_0334_table_01.csv
335,0,3,6,page_0335_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Bharat Coking Coal Limited - RHP\dumped_tables\page_0335_table_00.csv
335,1,3,6,page_0335_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Bharat Coking Coal Limited - RHP\dumped_tables\page_0335_table_01.csv
335,2,3,6,page_0335_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Bharat Coking Coal Limited - RHP\dumped_tables\page_0335_table_02.csv
