E,"PlanAssetInformationasatMarch
31",,,,,
1,"Government of India Securities (Central
and State)",0.00%,,0.00%,,0.00%
2,"High quality corporate bonds (including
Public Sector Bonds)",0.00%,,0.00%,,0.00%
3,Equity shares of listed companies,0.00%,,0.00%,,0.00%
4,Property,0.00%,,0.00%,,0.00%
5,Cash (including Special Deposits),0.00%,,0.00%,,0.00%
6,"Schemes of insurance - conventional
products",100.00%,,100.00%,,100.00%
7,Schemes of insurance - ULIP products,0.00%,,0.00%,,0.00%
8,Other,0.00%,,0.00%,,0.00%
9,Total,100.00%,,100.00%,,100.00%
E,"PlanAssetInformationasatMarch
31",,,,,
1,"Government of India Securities (Central
and State)",0%,,0%,,0%
2,"High quality corporate bonds (including
Public Sector Bonds)",0%,,0%,,0%
3,Equity shares of listed companies,0%,,0%,,0%
4,Property,0%,,0%,,0%
5,Cash (including Special Deposits),0%,,0%,,0%
6,"Schemes of insurance - conventional
products",100%,,100%,,100%
7,Schemes of insurance - ULIP products,0%,,0%,,0%
8,Other,0%,,0%,,0%
9,Total,100%,,100%,,100%
