Types of goods or service,,,,,
Coal,"5 2,602.90","6 3,686.80","1 30,832.60","1 31,611.00","1 23,491.40"
Others,0.00,0.00,0.00,0.00,0.00
Total,"5 2,602.90","6 3,686.80","1 30,832.60","1 31,611.00","1 23,491.40"
Types of Customers,,,,,
Power sector,"3 8,318.80","3 9,682.40","9 2,902.70","8 9,661.40","8 0,930.90"
Non-Power sector,"1 4,284.10","2 4,004.30","3 7,929.90","4 1,949.60","4 2,560.50"
Others or Services,0.00,0.00,0.00,0.00,0.00
Total,"5 2,602.90","6 3,686.70","1 30,832.60","1 31,611.00","1 23,491.40"
Types of Contract,,,,,
FSA,"3 5,543.50","3 9,451.40","9 1,948.70","9 2,043.00","8 9,822.40"
E Auction,"2 ,957.10","3 ,965.10","7 ,163.80","1 1,403.30","1 5,531.10"
Others,"1 4,102.30","2 0,270.30","3 1,720.10","2 8,164.70","1 8,137.90"
Total,"5 2,602.90","6 3,686.80","1 30,832.60","1 31,611.00","1 23,491.40"
Timing of goods or service,,,,,
Goods/Service transferred at a point in time,"5 2,602.90","6 3,686.80","1 30,832.60","1 31,611.00","1 23,491.40"
Total,"5 2,602.90","6 3,686.80","1 30,832.60","1 31,611.00","1 23,491.40"
