Particulars,Note Reference,"Amount as per
Audited Financial
Statements","Amount as per
Restated Financial
Information","Impact of regrouping -
Increase / (Decrease)",Reason for Regrouping
Sales,12.1,"176,008.10","175,457.40",(550.70),"RegroupingofAllowanceforExpectedCreditLossasProvisionforCoal
QualityVariance.Also,inNote4.3,TradeReceivables-CreditImpairedof
₹4174.70millionhasbeenregroupedasTradeReceivables-Unsecured,
considered good."
Provision - For trade receivables,13.8,573.00,22.30,(550.70),
Allowance for Expected Credit Loss,4.3,"4,174.70",-,"(4,174.70)",
Provision for Coal Quality Variance,Footnote 4.3.3,"1,220.10","5,394.80","4,174.70",
"Loadingandadditionaltransportation
charges",12.1,"10,446.70","7,157.00","(3,289.70)","Compositionuserfees(CUF)of₹3160.70millionnettedofffromgross
incomeandcorrespondinglevies.Also,servicechargesofcoalof₹129.00
millionmappedasMiscellaneousIncomeinplaceofOtherOperating
Revenue."
"Statutory Levies on Loading and
additional transportation charges",12.1,"3,835.60",674.90,"(3,160.70)",
Miscellaneous Income,12.2,"1,487.10","1,616.10",129.00,
Statutory Dues,10.2,"12,343.50","8,722.70","(3,620.80)","Compositionuserfees(CUF)reclassifiedasOtherfinancialliabilities
(current) in place of Statutory Dues."
"OtherFinancialLiabilities(Current)-
Others",8.4,490.20,"4,111.00","3,620.80",
Explosives,13.1,"3 ,623.10","3 ,622.60",(0.50),"ChangeinInventoryofworkshopandpressjobshasbeenreclassifiedas
consumption of explosives."
"ChangeinInventoryofworkshopand
press jobs",13.2,(0.50),-,0.50,
"BalancewithIndianInstituteofCoal
Management (IICM)",4.6,(0.10),-,0.10,"BalancePayabletoIndianInstituteofCoalManagement(IICM)hasbeen
shown as Other Financial liabilities in place of Other Financial Assets."
"CurrentAccountwith-IndianInstitute
of Coal Management",8.4,-,(0.10),(0.10),
Freehold Land,3.1,"1,504.50","1,513.30",8.80,Others regrouped as Freehold Land. Refer Footnote 3.1.5
"NetCashFlowgenerated/(used)from
Operating Activities","Statement of Cash
Flows","11,581.00","12,991.40","1,410.40",Regroupings / Reclassifications
"NetCashFlowgenerated/(used)from
Investing Activities",,"(13,498.30)","(14,856.10)","(1,357.80)",
"NetCashFlowgenerated/(used)from
Financing Activities",,(685.80),(738.40),(52.60),
Sales,12.1,"163,375.60","163,533.60",158.00,"ReclassificationofAllowanceforExpectedCreditLossasProvisionfor
CoalQualityVariance.Also,inNote4.3,TradeReceivables-Credit
Impairedof₹3624.00millionhasbeenreclassifiedasTradeReceivables-
Unsecured, considered good."
"Provision Written Back - For trade
receivables",12.2,441.70,122.10,(319.60),
Provision - For trade receivables,13.8,182.60,21.00,(161.60),
Allowance for Expected Credit Loss,4.3,"3,624.00",-,"(3,624.00)",
Provision for Coal Quality Variance,Footnote 4.3.3,954.00,"4,578.00","3,624.00",
Explosives,13.1,"5 ,319.90","5 ,313.30",(6.60),"ChangeinInventoryofworkshopandpressjobshasbeenreclassifiedas
consumption of explosives."
"ChangeinInventoryofworkshopand
press jobs",13.2,(6.60),-,6.60,
"BalancewithIndianInstituteofCoal
Management (IICM)",4.6,(0.10),-,0.10,"BalancePayabletoIndianInstituteofCoalManagement(IICM)hasbeen
shown as Other Financial liabilities in place of Other Financial Assets."
"CurrentAccountwith-IndianInstitute
of Coal Management",8.4,-,(0.10),(0.10),
Freehold Land,3.1,"1,288.00","1,296.80",8.80,Others regrouped as Freehold Land. Refer Footnote 3.1.5
"NetCashFlowgenerated/(used)from
Operating Activities","Statement of Cash
Flows","16,485.20","16,987.80",502.60,Regroupings / Reclassifications
"NetCashFlowgenerated/(used)from
Investing Activities",,"(16,082.90)","(16,865.20)",(782.30),
"NetCashFlowgenerated/(used)from
Financing Activities",,(709.40),(429.70),279.70,
