,,ended September,,,,,"ended September 30,",,,,,,,,,
,,"30, 2025",,,,,2024,,,,,,,,,
,"(in ₹
million)",(in ₹,,Perce,,"(in ₹
million)",(in ₹,"Percent
age of
Total
Income
(%)",Percent,,"(in ₹
million)","Percenta
ge of
Total
Income
(%)","(in ₹
million)","Percenta
ge of
Total
Income
(%)","(in ₹
million)","Percent
age of
Total
Income
(%)"
,,million),,ntage,,,million),,age of,,,,,,,
,,,,of,,,,,Total,,,,,,,
,,,,Total,,,,,Income,,,,,,,
,,,,Incom,,,,,(%),,,,,,,
,,,,e (%),,,,,,,,,,,,
Revenue from operations (net of levies),,,,,,,,,,,,,,,,
,,ended September,,,,,"ended September 30,",,,,,,,,,
,,"30, 2025",,,,,2024,,,,,,,,,
,"(in ₹
million)",(in ₹,,Perce,,"(in ₹
million)",(in ₹,"Percent
age of
Total
Income
(%)",Percent,,"(in ₹
million)","Percenta
ge of
Total
Income
(%)","(in ₹
million)","Percenta
ge of
Total
Income
(%)","(in ₹
million)","Percent
age of
Total
Income
(%)"
,,million),,ntage,,,million),,age of,,,,,,,
,,,,of,,,,,Total,,,,,,,
,,,,Total,,,,,Income,,,,,,,
,,,,Incom,,,,,(%),,,,,,,
,,,,e (%),,,,,,,,,,,,
Sales,"52,602.90",,83.34,,,"63,686.80",,89.82,,,"130,832.
60",90.85,"131,611.
00",89.82,"123,491.
40",94.86
"Other
operating
revenue","3,987.30",,6.32,,,"4,775.10",,6.73,,,"7,192.90",4.99,"10,847.6
0",7.40,"2,749.20",2.11
"Revenue
from
operation
s (net of
levies)","56,590.20",,89.66,,,"68,461.90",,96.55,,,"138,025.
50",95.84,"142,458.
60",97.22,"126,240.
60",96.97
"Other
income","6,524.90",,10.34,,,"2,445.10",,3.45,,,"5,990.80",4.16,"4,066.70",2.78,"3,945.10",3.03
"Total
Income","63,115.10",,100.00,,,"70,907.00",,100.00,,,"144,016.
30",100.00,"146,525.
30",100.00,"130,185.
70",100.00
Expenses,,,,,,,,,,,,,,,,
"Cost of
materials
consumed","2,727.30",,4.32,,,"3,073.60",,4.33,,,"6,409.20",4.45,"7,421.70",5.07,"9,891.60",7.60
"Changes
in
inventorie
s of
finished
goods,
work-in-
progress
and stock
in trade","1,036.90",,1.64,,,"(1,235.00)",,(1.74),,,"(5,625.8
0)",(3.91),"(3,321.3
0)",(2.27),(137.20),(0.11)
"Employee
benefits
expense","30,375.20",,48.13,,,"33,363.40",,47.05,,,"65,423.7
4",45.43,"69,506.7
0",47.44,"71,479.3
0",54.91
"Finance
costs",600.50,,0.95,,,321.90,,0.45,,,724.90,0.50,618.30,0.42,556.90,0.43
"Depreciati
on/
amortizati
on/
impairmen
t","2,005.40",,3.18,,,"2,172.40",,3.06,,,"5,806.80",4.03,"3,403.90",2.32,"3,054.30",2.35
"Stripping
activity
adjustment","(5,854.60)",,(9.28),,,"(5,023.30)",,(7.08),,,"(7,723.0
0)",(5.36),"(1,851.7
0)",(1.26),-,-
"Contractua
l expense","20,588.30",,32.62,,,"18,323.20",,25.84,,,"43,115.1
0",29.94,"31,686.4
0",21.63,"23,913.5
0",18.37
"Other
expenses","9,642.70",,15.28,,,"8,670.40",,12.23,,,"18,856.4
6",13.09,"18,144.6
0",12.38,"16,125.4
0",12.39
"Total
Expenses","61,121.70",,96.84,,,"59,666.60",,84.15,,,"126,987.
40",88.18,"125,608.
60",85.72,"124,883.
80",95.93
"Profit/(Lo
ss) before
Tax","1,993.40",,3.16,,,"11,240.40",,15.85,,,"17,028.9
0",11.82,"20,916.7
0",14.28,"5,301.90",4.07
Tax expense,,,,,,,,,,,,,,,,
"Current
tax",433.80,,0.69,,,"1,899.20",,2.68,,,"2,900.30",2.01,"1,803.30",1.23,13.10,0.01
"Deferred
tax",320.80,,0.51,,,"1,854.20",,2.61,,,"1,726.70",1.20,"3,468.80",2.37,"(1,359.0
0)",(1.04)
"Total tax
expense",754.60,,1.20,,,"3,753.40",,5.29,,,"4,627.00",3.21,"5,272.10",3.60,"(1,345.9
0)",(1.03)
"Profit /
(Loss) for
the year","1,238.80",,1.96,,,"7,487.00",,10.56,,,"12,401.9
0",8.61,"15,644.6
0",10.68,"6,647.80",5.11
