,"ERP Under
Development",Total
"Gross Carrying Amount:
As at April 01, 2022
Additions
Capitalisation/ Deletions
As at March 31, 2023
As at April 01, 2023
Additions
Capitalisation/ Deletions
As at March 31, 2024
As at April 01, 2024
Additions
Capitalisation/ Deletions
As at March 31, 2025
For the Interim Period Reported
As at April 01, 2024
Additions
Capitalisation/ Deletions
As at September 30, 2024
As at April 01, 2025
Additions
Capitalisation/ Deletions
As at September 30, 2025
Accumulated Impairment
As at April 01, 2022
Charge for the year
Deletions/Adjustments
As at March 31, 2023
As at April 01, 2023
Charge for the year
Deletions/Adjustments
As at March 31, 2024
As at April 01, 2024
Charge for the year
Deletions/Adjustments
As at March 31, 2025
For the Interim Period Reported
As at April 01, 2024
Charge for the year
Deletions/Adjustments
As at September 30, 2024
As at April 01, 2025
Charge for the year
Deletions/Adjustments
As at September 30, 2025","185.80
-
(185.80)","185.80
-
(185.80)"
,-,-
,"-
-
-","-
-
-"
,-,-
,"-
-
-","-
-
-"
,-,-
,"-
-
-","-
-
-"
,-,-
,"-
-
-","-
-
-"
,-,-
,"-
-
-","-
-
-"
,-,-
,"-
-
-","-
-
-"
,-,-
,"-
-
-","-
-
-"
,-,-
,"-
-
-","-
-
-"
,-,-
,"-
-
-","-
-
-"
,-,-
"Net Carrying Amount
As at March 31, 2023
As at March 31, 2024
As at March 31, 2025
As at September 30, 2024
As at September 30, 2025","-
-
-
-
-","-
-
-
-
-"
