Particulars,Unbilled Dues,Outstanding for following periods from transaction date,,,,,Total
,,"Less than 6
months",6 months 1 year,1-2 years,2-3 years,"More than
3 years",
(i) Undisputed Trade receivables – considered good,3625.20,14496.80,472.20,367.70,1216.00,1808.30,"21,986.20"
(ii) Undisputed Trade Receivables – which have significant increase in credit risk,,,,,,,-
(iii) Undisputed Trade Receivables – credit impaired,,,,,,,-
(iv) Disputed Trade Receivables– considered good,,,,,,39.00,39.00
(v) Disputed Trade Receivables– which have significant increase in credit risk,,,,,,,-
(vi) Disputed Trade Receivables – credit impaired,,,,,,,-
Total,"3,625.20","14,496.80",4 72.20,3 67.70,"1 ,216.00","1 ,847.30","22,025.20"
Allowance for expected credit loss,,,,,,,-
Expected credit losses (Loss allowance provision) - %,,,,,,,
Particulars,Unbilled Dues,Outstanding for following periods from transaction date,,,,,Total
,,"Less than 6
months",6 months 1 year,1-2 years,2-3 years,"More than
3 years",
(i) Undisputed Trade receivables – considered good,4089.10,7767.70,1045.90,303.80,99.30,1145.90,"14,451.70"
(ii) Undisputed Trade Receivables – which have significant increase in credit risk,,,,,,,-
(iii) Undisputed Trade Receivables – credit impaired,,,,,,,-
(iv) Disputed Trade Receivables– considered good,,,,,,39.00,39.00
(v) Disputed Trade Receivables– which have significant increase in credit risk,,,,,,,-
(vi) Disputed Trade Receivables – credit impaired,,,,,,,-
Total,"4,089.10","7,767.70","1 ,045.90",3 03.80,9 9.30,"1 ,184.90","14,490.70"
Allowance for expected credit loss,,,,,,,-
Expected credit losses (Loss allowance provision) - %,,,,,,,
Particulars,Unbilled Dues,Outstanding for following periods from transaction date,,,,,Total
,,"Less than 6
months",6 months 1 year,1-2 years,2-3 years,"More than
3 years",
(i) Undisputed Trade receivables – considered good,3436.10,11303.70,737.90,1230.50,645.30,1085.10,"18,438.60"
(ii) Undisputed Trade Receivables – which have significant increase in credit risk,,,,,,,-
(iii) Undisputed Trade Receivables – credit impaired,,,,,,,-
(iv) Disputed Trade Receivables– considered good,,,,,,39.00,39.00
(v) Disputed Trade Receivables– which have significant increase in credit risk,,,,,,,-
(vi) Disputed Trade Receivables – credit impaired,,,,,,,-
Total,"3,436.10","11,303.70",7 37.90,"1 ,230.50",6 45.30,"1 ,124.10","18,477.60"
Allowance for expected credit loss,,,,,,,-
Expected credit losses (Loss allowance provision) - %,,,,,,,
Particulars,Unbilled Dues,Outstanding for following periods from transaction date,,,,,Total
,,"Less than 6
months",6 months 1 year,1-2 years,2-3 years,"More than
3 years",
(i) Undisputed Trade receivables – considered good,3735.10,"6,376.90",6 7.20,"1 ,968.40",6 7.80,"1 ,078.10","13,293.50"
(ii) Undisputed Trade Receivables – which have significant increase in credit risk,,-,-,-,-,-,-
(iii) Undisputed Trade Receivables – credit impaired,,-,-,-,-,-,-
(iv) Disputed Trade Receivables– considered good,,-,-,-,-,3 9.00,39.00
(v) Disputed Trade Receivables– which have significant increase in credit risk,,-,-,-,-,-,-
(vi) Disputed Trade Receivables – credit impaired,,-,-,-,-,-,-
Total,"3,735.10","6,376.90",6 7.20,"1 ,968.40",6 7.80,"1 ,117.10","13,332.50"
Allowance for expected credit loss,-,,,,,,-
Expected credit losses (Loss allowance provision) - %,,,,,,,
Particulars,Unbilled Dues,Outstanding for following periods from transaction date,,,,,Total
,,"Less than 6
months",6 months 1 year,1-2 years,2-3 years,"More than
3 years",
(i) Undisputed Trade receivables – considered good,,"11,031.00",1 96.30,9 9.30,6 7.80,"1,117.10","12,511.50"
(ii) Undisputed Trade Receivables – which have significant increase in credit risk,,-,-,-,-,-,-
(iii) Undisputed Trade Receivables – credit impaired,,-,-,-,-,-,-
(iv) Disputed Trade Receivables– considered good,,-,-,-,-,-,-
(v) Disputed Trade Receivables– which have significant increase in credit risk,,-,-,-,-,-,-
(vi) Disputed Trade Receivables – credit impaired,,-,-,-,-,-,-
Total,-,"11,031.00",1 96.30,9 9.30,6 7.80,"1,117.10","12,511.50"
Allowance for expected credit loss,-,,,,,,-
Expected credit losses (Loss allowance provision) - %,,,,,,,
