Name of Shareholder/Promoter,"No.of Shares held
(Face value of ₹1,000/-
each)","% of Total
Shares","% Change during
the year"
Coal India Limited (Holding Company),"46,570,000",100%,0.00
Name of Shareholder/Promoter,"No.of Shares held
(Face value of ₹1,000/-
each)","% of Total
Shares","% Change during
the year"
Coal India Limited (Holding Company),"46,570,000",100%,0.00
Name of Shareholder/Promoter,"No.of Shares held
(Face value of ₹1,000/-
each)","% of Total
Shares","% Change during
the year"
Coal India Limited (Holding Company),"46,570,000",100%,0.00
Name of Shareholder/Promoter,"No.of Shares held
(Face value of ₹1,000/-
each)","% of Total
Shares","% Change during
the year"
Coal India Limited (Holding Company),"46,570,000",100%,0.00
Name of Shareholder/Promoter,"No.of Shares held
(Face value of ₹10/-
each)","% of Total
Shares","% Change during
the year"
Coal India Limited (Holding Company),"4,657,000,000",100%,0.00
