B,"Other Comprehensive Income
(OCI )",,,
1,"Actuarial (gain)/loss due to DBO
experience",(19.40),100.50,"2,680.20"
2,"Actuarial (gain)/loss due to DBO
assumption changes",795.10,601.90,"(1,020.00)"
3,"Actuarial (gain)/loss arising during
period",775.60,702.40,"1,660.20"
4,"Returnonplanassets(greater)/lessthan
discount rate",(74.20),34.40,30.50
5,"Actuarial(gains)/lossesrecognizedin
OCI",701.40,736.90,"1,690.70"
B,"Other Comprehensive Income
(OCI )",,,
1,"Actuarial(gain)/loss due toDBO
experience","(1,004.00)",335.40,723.60
2,"Actuarial(gain)/loss due toDBO
assumption changes",307.10,220.60,(322.00)
3,"Actuarial(gain)/lossarisingduring
period",(696.90),555.90,401.60
4,"Returnonplanassets(greater)/less
than discount rate",(614.10),74.20,(196.00)
5,"Actuarial(gains)/lossesrecognized
in OCI",0.00,0.00,0.00
B,"Other Comprehensive Income
(OCI )",,,
1,"Actuarial(gain)/loss due toDBO
experience",(261.00),(327.50),582.20
2,"Actuarial(gain)/loss due toDBO
assumption changes",359.10,253.10,(426.80)
3,"Actuarial(gain)/lossarisingduring
period",98.00,(74.40),155.40
4,"Returnonplanassets(greater)/less
than discount rate",(67.70),(39.10),(46.70)
5,"Actuarial(gains)/lossesrecognized
in OCI",30.30,(113.50),108.70
