Particulars,,,Nine months ended,,,,Fiscal,,,,,,
,,,"December 31,",,,,,,,,,,
,,,2025,,2024,,,2025,,2024,,,2023
Profit before tax (A),,"5,685.2",,,"5,194.3",,"8,821.4",,,"7,328.4",,"3,669.5",
Finance cost (B),,0.6,,,0.7,,0.9,,,0.6,,0.9,
"Earnings before interest and taxes (C)
= (A+B)",,"5,685.8",,,"5,195.0",,"8,822.3",,,"7,329.0",,"3,670.4",
Net worth (D),,"21,537.8",,,"17,640",,"20,418.5",,,"15,916.1",,"12,176.5",
Non-Current Borrowings (F),,0.0,,,0.0,,0.0,,,0.0,,0.0,
Opening capital employed (J),,"20,418.5",,,"15,916.1",,"15,916.1",,,"12,176.5",,"9,956.2",
Closing capital employed H= (D+F),,"21,537.8",,,"17,640",,"20,418.5",,,"15,916.1",,"12,176.5",
"Average capital employed (I)
=(J+H)/2",,"20,978.2",,,"16,778.1",,"18,167.3",,,"14,046.3",,"11,066.4",
"Return on average capital
employed (%) K=(C/I)",,27.1%,,,31.0%,,48.6%,,,52.2%,,33.2%,
