Particulars,,"Nine months ended December 31,",,,,,"Nine months ended December 31,
2024",
,,2025,,,,,,
,(in ₹ million),(in ₹ million),,Percentage of,,(in ₹ million),,"Percentage of
Total Income"
,,,,Total Income,,,,
Revenue from Operations (Net of levies),,,,,,,,
Sales,"1,4896.5",,96.5%,,,"1,3624.3",,97.4%
Other Operating Revenue,-,,-,,,-,,-
Revenue from Operations (Net of levies),"1,4896.5",,96.5%,,,"1,3624.3",,97.4%
Other Income,542.8,,3.5%,,,369.2,,2.6%
Total Income,"1,5439.3",,100.0%,,,"1,3993.5",,100.0%
Expenses,,,,,,,,
Cost of Materials Consumed,179.3,,1.2%,,,197.5,,1.4%
Purchases of Stock-in-Trade,-,,-,,,-,,-
"Changes in inventories of finished
goods/work in progress and Stock in trade",-,,-,,,-,,-
Employee Benefits Expense,"4,557.5",,29.5%,,,"4,630.4",,33.1%
Finance Costs,0.6,,0.0%,,,0.7,,0.0%
