Particulars,,Fiscal 2025,,,,,Fiscal 2024,,,,,Fiscal 2023,,,
,"(in ₹
million)",(in ₹,,Percentage,,"(in ₹
million)",(in ₹,,Percentage,,"(in ₹
million)",(in ₹,,Percentage,
,,million),,of Total,,,million),,of Total,,,million),,of Total,
,,,,Income,,,,,Income,,,,,Income,
Revenue from Operations (Net of levies),,,,,,,,,,,,,,,
Sales,"21,027.6",,96.6%,,,"17,326.9",,97.9%,,,"13,860.9",,99.1%,,
Other Operating Revenue,-,,-,,,-,,-,,,-,,-,,
"Revenue from Operations
(Net of levies)","21,027.6",,96.6%,,,"17,326.9",,97.9%,,,"13,860.9",,99.1%,,
Other Income,747.7,,3.4%,,,374.9,,2.1%,,,126.9,,0.9%,,
Total Income,"21,775.3",,100.0%,,,"17,701.8",,100.0%,,,"13,987.8",,100.0%,,
Expenses,,,,,,,,,,,,,,,
Cost of Materials Consumed,306.3,,1.4%,,,314.9,,1.8%,,,330.9,,2.4%,,
Purchases of Stock-in-Trade,-,,-,,,-,,-,,,-,,-,,
"Changes in inventories of
finished goods/work in
progress and Stock in trade",-,,-,,,-,,-,,,-,,-,,
Employee Benefits Expense,"6,085.1",,27.9%,,,"6,379.8",,36.0%,,,"6,919.2",,49.5%,,
Finance Costs,0.9,,0.0%,,,0.6,,0.0%,,,0.9,,0.0%,,
"Depreciation/Amortization/
Impairment expense",334.8,,1.5%,,,315.4,,1.8%,,,286.1,,2.0%,,
Contractual Expense,-,,-,,,-,,-,,,-,,-,,
Other Expenses,"6,226.8",,28.7%,,,"3,362.7",,19.0%,,,"2,781.2",,19.9%,,
Total Expenses,"12,953.9",,59.5%,,,"10,373.4",,58.6%,,,"10,318.3",,73.8%,,
"Profit before exceptional
items and Tax","8,821.4",,40.5%,,,"7,328.4",,41.4%,,,"3,669.5",,26.2%,,
Exceptional Items,-,,-,,,-,,-,,,-,,-,,
Profit before Tax,"8,821.4",,40.5%,,,"7,328.4",,41.4%,,,"3,669.5",,26.2%,,
Tax expenses,,,,,,,,,,,,,,,
Total tax expenses,"2,152.3",,9.9%,,,"2,296.1",,13.0%,,,702.9,,5.0%,,
"Profit for the period from
continuing operations","6,669.1",,30.6%,,,"5,032.3",,28.4%,,,"2,966.6",,21.2%,,
"Profit/(Loss) from discontinued
operations",-,,-,,,-,,-,,,-,,-,,
"Tax exp of discontinued
operations",-,,-,,,-,,-,,,-,,-,,
"Profit/Loss for the period
from Discontinuing
operations after Tax",-,,-,,,-,,-,,,-,,-,,
"Share in JV's/Associate's
profit/(loss)",-,,-,,,-,,-,,,-,,-,,
