page,table_index,rows,cols,csv_file,csv_path
405,0,11,11,page_0405_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CENTRAL MINE PLANNING _ DESIGN INSTITUTE LIMITED - RHP\dumped_tables\page_0405_table_00.csv
407,0,8,10,page_0407_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CENTRAL MINE PLANNING _ DESIGN INSTITUTE LIMITED - RHP\dumped_tables\page_0407_table_00.csv
407,1,7,16,page_0407_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CENTRAL MINE PLANNING _ DESIGN INSTITUTE LIMITED - RHP\dumped_tables\page_0407_table_01.csv
408,0,8,13,page_0408_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CENTRAL MINE PLANNING _ DESIGN INSTITUTE LIMITED - RHP\dumped_tables\page_0408_table_00.csv
408,1,9,16,page_0408_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CENTRAL MINE PLANNING _ DESIGN INSTITUTE LIMITED - RHP\dumped_tables\page_0408_table_01.csv
412,0,9,6,page_0412_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CENTRAL MINE PLANNING _ DESIGN INSTITUTE LIMITED - RHP\dumped_tables\page_0412_table_00.csv
413,0,3,6,page_0413_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CENTRAL MINE PLANNING _ DESIGN INSTITUTE LIMITED - RHP\dumped_tables\page_0413_table_00.csv
417,0,8,3,page_0417_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CENTRAL MINE PLANNING _ DESIGN INSTITUTE LIMITED - RHP\dumped_tables\page_0417_table_00.csv
424,0,10,6,page_0424_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CENTRAL MINE PLANNING _ DESIGN INSTITUTE LIMITED - RHP\dumped_tables\page_0424_table_00.csv
424,1,9,14,page_0424_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CENTRAL MINE PLANNING _ DESIGN INSTITUTE LIMITED - RHP\dumped_tables\page_0424_table_01.csv
424,2,6,14,page_0424_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CENTRAL MINE PLANNING _ DESIGN INSTITUTE LIMITED - RHP\dumped_tables\page_0424_table_02.csv
424,3,5,6,page_0424_table_03.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CENTRAL MINE PLANNING _ DESIGN INSTITUTE LIMITED - RHP\dumped_tables\page_0424_table_03.csv
425,0,12,14,page_0425_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CENTRAL MINE PLANNING _ DESIGN INSTITUTE LIMITED - RHP\dumped_tables\page_0425_table_00.csv
425,1,7,6,page_0425_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CENTRAL MINE PLANNING _ DESIGN INSTITUTE LIMITED - RHP\dumped_tables\page_0425_table_01.csv
425,2,16,9,page_0425_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CENTRAL MINE PLANNING _ DESIGN INSTITUTE LIMITED - RHP\dumped_tables\page_0425_table_02.csv
426,0,19,10,page_0426_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CENTRAL MINE PLANNING _ DESIGN INSTITUTE LIMITED - RHP\dumped_tables\page_0426_table_00.csv
426,1,30,16,page_0426_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CENTRAL MINE PLANNING _ DESIGN INSTITUTE LIMITED - RHP\dumped_tables\page_0426_table_01.csv
