Particulars,,"Nine months ended December 31,",,,,,Fiscal,,,,,,
,,2025,,2024,,,2025,,,2024,,,2023
Total Income (A),"15,439.3",,"13,993.5",,,"21,775.3",,,"17,701.8",,,"13,987.8",
Profit for the period/year (B),"4,253.6",,"3,899.5",,,,"6,669.1",,"5,032.3",,,"2,966.6",
Finance costs (C),0.6,,0.7,,,0.9,,,0.6,,,0.9,
Total tax expense (D),"1,431.6",,"1,294.8",,,"2,152.3",,,"2,296.1",,,702.9,
"Depreciation/Amortization/
Impairment expense (E)",252.7,,251.0,,,334.8,,,315.4,,,286.1,
EBITDA [G= (B+C+D+E)],"5,938.5",,"5,446.0",,,"9,157.1",,,"7,644.4",,,"3,956.5",
EBITDA Margin (%) (H=G/A),38.5%,,38.9%,,,42.1%,,,43.2%,,,28.3%,
Particulars,Nine months ended,,,,,Fiscal,,,,,,,
,"December 31,",,,,,,,,,,,,
,2025,,,2024,,,2025,,,2024,,,2023
Profit for the period/year (A),"4,253.6",,"3,899.5",,,"6,669.1",,,"5,032.3",,,"2,966.6",
Total Income (B),"15,439.3",,"13,993.5",,,"21,775.3",,,"17,701.8",,,"13,987.8",
PAT Margin %(C=A/B),27.6%,,27.9%,,,30.6%,,,28.4%,,,21.2%,
Particulars,,,Nine months ended,,,,Fiscal,,,,,,
,,,"December 31,",,,,,,,,,,
,,,2025,,2024,,,2025,,2024,,,2023
Profit before tax (A),,"5,685.2",,,"5,194.3",,"8,821.4",,,"7,328.4",,"3,669.5",
Finance cost (B),,0.6,,,0.7,,0.9,,,0.6,,0.9,
"Earnings before interest and taxes (C)
= (A+B)",,"5,685.8",,,"5,195.0",,"8,822.3",,,"7,329.0",,"3,670.4",
Net worth (D),,"21,537.8",,,"17,640",,"20,418.5",,,"15,916.1",,"12,176.5",
Non-Current Borrowings (F),,0.0,,,0.0,,0.0,,,0.0,,0.0,
Opening capital employed (J),,"20,418.5",,,"15,916.1",,"15,916.1",,,"12,176.5",,"9,956.2",
Closing capital employed H= (D+F),,"21,537.8",,,"17,640",,"20,418.5",,,"15,916.1",,"12,176.5",
"Average capital employed (I)
=(J+H)/2",,"20,978.2",,,"16,778.1",,"18,167.3",,,"14,046.3",,"11,066.4",
"Return on average capital
employed (%) K=(C/I)",,27.1%,,,31.0%,,48.6%,,,52.2%,,33.2%,
