Particulars,"Nine months ended December 31,",,,,,"Nine months ended December 31,",,,
,2025,,,,,2024,,,
,(in ₹ million),,Percentage of,,(in ₹ million),(in ₹ million),,Percentage of,
,,,Total Income,,,,,Total Income,
"Depreciation/Amortization/ Impairment
expense",252.7,1.6%,,,251.0,,1.8%,,
Contractual Expense,-,-,,,-,,-,,
Other Expenses,"4,764.0",30.9%,,,"3,719.6",,26.6%,,
Total Expenses,"9,754.1",63.2%,,,"8,799.2",,62.9%,,
Profit before exceptional items and Tax,"5,685.2",36.8%,,,"5,194.3",,37.1%,,
Exceptional Items,-,-,,,-,,-,,
Profit before Tax,"5,685.2",36.5%,,,"5,194.3",,37.1%,,
Tax expenses,,,,,,,,,
Total tax expenses,"1,431.6",9.3%,,,"1,294.8",,9.3%,,
"Profit for the period from continuing
operations","4,253.6",27.6%,,,"3,899.5",,27.9%,,
Profit/(Loss) from discontinued operations,-,-,,,-,,-,,
Tax exp of discontinued operations,-,-,,,-,,-,,
"Profit/Loss for the period from
Discontinuing operations after Tax",-,-,,,-,,-,,
Share in JV's/Associate's profit/(loss),-,-,,,-,,-,,
Profit for the Year,"4,253.6",27.6%,,,"3,899.5",,27.9%,,
