"Sr.
No.",Name of the Entity,Relationship,"Name of the
Independent Auditor",Period Examined
,"(from October 1,
2024)
Associate:
(i) CleanMax Alpha
LeaseCo FZCO
(upto September
30, 2024)
Joint Ventures:
(i) Kanoo Cleanmax
Renewables Asset
Co W.L.L
(ii) Kanoo Cleanmax
Renewables W.L.L",,,
138,"Clean Max Alchemy Private
Limited",Subsidiary,"Kaushal Manish & Co
LLP","March 31, 2023"
139,"Clean Max Bloom Private
Limited",Subsidiary,"Kaushal Manish & Co
LLP","March 31, 2023"
140,"Clean Max Cads Private
Limited",Subsidiary,"Kaushal Manish & Co
LLP","March 31, 2023"
141,"Clean Max Celeste Private
Limited",Subsidiary,"Kaushal Manish & Co
LLP","March 31, 2023"
142,"Clean Max Dos Private
Limited",Subsidiary,"Kaushal Manish & Co
LLP","March 31, 2023"
143,"Clean Max Eliora Private
Limited",Subsidiary,"Kaushal Manish & Co
LLP","March 31, 2023"
144,"Clean Max Galaxy Private
Limited",Subsidiary,"Kaushal Manish & Co
LLP","March 31, 2023"
145,"Clean Max Genesis Private
Limited",Subsidiary,"Kaushal Manish & Co
LLP","March 31, 2023"
146,"Clean Max Mirage Private
Limited",Subsidiary,"Kaushal Manish & Co
LLP","March 31, 2023"
147,"Clean Max Opus Private
Limited",Subsidiary,"Kaushal Manish & Co
LLP","March 31, 2023"
148,"Clean Max Prithvi Private
Limited",Subsidiary,"Kaushal Manish & Co
LLP","March 31, 2023"
149,"Clean Max Uranus Private
Limited",Subsidiary,"Kaushal Manish & Co
LLP","March 31, 2023"
150,"Clean Max Solaris Private
Limited",Subsidiary,"Kaushal Manish & Co
LLP","March 31, 2023"
