,a. Subsidiary companies/ LLPs,"Principal
place of
business /
country of
incorporation","As at 30th
September,
2025
(%)","As at 30th
September,
2024
(%)","As at 31st
March,
2025
(%)","As at 31st
March,
2024
(%)","As at 31st
March,
2023
(%)"
54,Clean Max Tav Private Limited,India,74,74,74,74,74
55,Clean Max Saura Private Limited,India,73,73,73,73,73
56,Clean Max Ame Private Limited,India,74,100,74,100,100
57,Clean Max Arnav Private Limited,India,74,74,74,74,74
58,Clean Max Astria Private Limited,India,74,74,74,74,74
59,"Clean Max Decimus Private
Limited",India,74,74,74,100,100
60,Clean Max Dhruve Private Limited,India,74,74,74,100,100
61,"Clean Max Dhyuthi Private
Limited",India,74,74,74,74,74
62,"Clean Max Hybrid 2 Private
Limited",India,74,74,74,74,74
63,Clean Max Kaze Private Limited,India,74,74,74,74,74
64,"Clean Max Matahari Private
Limited",India,74,74,74,74,74
65,Clean Max Taiyo Private Limited,India,74,74,74,74,74
66,"Clean Max Meridius Private
Limited",India,74,74,74,74,74
67,Clean Max Plutus Private Limited,India,74,74,74,74,74
68,"Clean Max Power 4 Private
Limited",India,74,74,74,74,74
69,"Clean Max Alchemy Private
Limited",India,100,100,100,100,-
70,Clean Max Bloom Private Limited,India,51,51,51,100,-
71,Clean Max Cads Private Limited,India,51,100,51,100,-
72,Clean Max Celeste Private Limited,India,74,74,74,74,-
73,Clean Max Dos Private Limited,India,51,51,51,100,-
74,Clean Max Eliora Private Limited,India,74,74,74,74,-
75,Clean Max Galaxy Private Limited,India,100,100,100,100,-
76,"Clean Max Genesis Private
Limited",India,74,74,74,74,-
77,Clean Max Mirage Private Limited,India,51,51,51,51,-
78,Clean Max Opus Private Limited,India,51,51,51,51,-
79,Clean Max Prithvi Private Limited,India,51,100,51,100,-
80,Clean Max Solaris Private Limited,India,100,100,100,100,-
81,Clean Max Uranus Private Limited,India,74,74,74,74,-
82,HEM Urja LLP,India,100,100,100,100,100
83,Gadag Power India Private Limited,India,100,100,100,100,100
84,"Clean Max Surya Energy Private
Limited",India,100,100,100,100,100
85,Downing Gridco Private Limited,India,100,100,100,100,100
86,Clean Max Ruby Private Limited,India,51,51,51,100,-
87,Clean Max Uno Private Limited,India,74,74,74,100,-
88,Clean Max Maya Private Limited,India,51,51,51,51,-
