Property Plant and Equipment,"Description of the item of
property","Name of the Company in which the immovable
property is capitalised",Acres,"Gross carrying value
(Rs. In million)",Lease deeds held in the name of,"Whether title deed holder is a
promoter, director or relative of
promoter/director or employee
of promoter/director","Property held
since which
date","Reason for not
being held in the
name of the group"
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,1 .43,0 .78,Lease deed not prepared,Not Applicable,03-11-2023,"Respective entities
are in the process
of completing the
formalities in
relation to the
execution of Lease
deeds"
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .22,0 .12,Lease deed not prepared,Not Applicable,07-12-2023,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .20,0 .11,Lease deed not prepared,Not Applicable,02-12-2023,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .69,0 .37,Lease deed not prepared,Not Applicable,28-11-2023,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .47,0 .25,Lease deed not prepared,Not Applicable,23-12-2023,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,2 .15,1 .16,Lease deed not prepared,Not Applicable,20-10-2023,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,1 .63,0 .88,Lease deed not prepared,Not Applicable,27-12-2023,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .64,0 .35,Lease deed not prepared,Not Applicable,02-02-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .74,0 .40,Lease deed not prepared,Not Applicable,07-02-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .64,0 .35,Lease deed not prepared,Not Applicable,28-12-2023,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,1 .26,0 .68,Lease deed not prepared,Not Applicable,02-02-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .64,0 .35,Lease deed not prepared,Not Applicable,02-02-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .30,0 .16,Lease deed not prepared,Not Applicable,02-02-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,1 .63,0 .88,Lease deed not prepared,Not Applicable,28-12-2023,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,3 .56,1 .93,Lease deed not prepared,Not Applicable,13-02-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,2 .22,1 .20,Lease deed not prepared,Not Applicable,01-02-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,1 .09,0 .57,Lease deed not prepared,Not Applicable,13-03-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .96,0 .50,Lease deed not prepared,Not Applicable,03-04-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .84,0 .44,Lease deed not prepared,Not Applicable,13-03-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .35,0 .18,Lease deed not prepared,Not Applicable,13-03-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .79,0 .41,Lease deed not prepared,Not Applicable,22-02-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,1 .83,0 .95,Lease deed not prepared,Not Applicable,22-02-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .17,0 .09,Lease deed not prepared,Not Applicable,22-02-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,4 .45,2 .31,Lease deed not prepared,Not Applicable,03-04-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,2 .27,1 .18,Lease deed not prepared,Not Applicable,03-04-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .47,0 .24,Lease deed not prepared,Not Applicable,22-02-2024,
,,,,55.90,,,,
