"Sr.
No.",Name of the Company (on behalf of),Name of the Company (given by),Nature,"For the six months period
ended 30th September, 2025","For the six months period
ended 30th September, 2024","For the year ended
31st March, 2025","For the year ended
31st March, 2024","For the year ended
31st March, 2023"
56,Clean Max Uno Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,7 2.30,-,-
57,Clean Max Uranus Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,2 26.80,2 26.80,6 30.00,-
58,Clean Max Vega Power LLP,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,640.88,6 10.30,7 45.30,-,6 27.98
59,Clean Max Vent Power Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,-,-,4 39.00
60,Clean Max Vital Energy LLP,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,-,-,3 77.79
61,Clean Max Zeus Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,-,3 61.10,"3 ,264.50"
62,Cleanmax Energy (Thailand) Co. Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,-,4 32.86,-
63,CMES Infinity Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,-,-,5 60.00
64,Clean Max Boreal Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,442.50,-,-,-,-
65,Clean Max Aurora Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,179.00,-,-,-,-
66,Clean Max Ame Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,278.00,-,-,-,-
67,Clean Max Bryce Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,174.16,-,-,-,-
68,Clean Max Serengeti Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,219.60,-,-,-,-
69,Clean Max Fragma Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,283.96,-,-,-,-
70,Clean Max Celestial Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,"4,485.98",-,-,-,-
71,Clean Max Patagonia Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,700.00,-,-,-,-
72,Clean Max Everglades Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,503.03,-,-,-,-
73,Clean Max Taurus Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,960.00,-,-,-,-
74,Clean Max Centaurus Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,408.50,-,-,-,-
75,Clean Max Banff Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,201.60,-,-,-,-
76,Clean Max Godavari Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,290.00,-,-,-,-
77,Clean Max Ganga Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,"1,012.50",-,-,-,-
78,Clean Max IPP4 Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,358.88,-,-,-,-
79,Clean Max Sierra Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,157.50,-,-,-,-
80,Clean Max Bloom Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,130.50,-,-,-,-
81,Clean Max Kruger Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,415.13,-,-,-,-
82,Clean Max Beta Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,468.10,-,-,-,-
83,CMES Power 1 Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,-,-,4 18.31
