"Sr.
No.",Name of the Company (on behalf of),Name of the Company (given by),In favour of,"As at
30th September, 2025","As at
30th September, 2024","As at
31st March, 2025","As at
31st March, 2024","As at
31st March, 2023"
87,Clean Max Terra Private Limited,Clean Max Enviro Energy Solutions Limited,Exim Bank,261.23,-,264.45,-,-
88,Clean Max Celeste Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,-,2 41.80,236.72,-,-
89,Clean Max Genesis Private Limited,Clean Max Enviro Energy Solutions Limited,State Bank of India,790.81,6 59.41,803.21,-,-
90,Clean Max Infinia Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,96.75,7 3.90,73.90,-,-
91,Clean Max Maya Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,257.59,1 96.60,196.60,-,-
92,Clean Max Calypso Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,432.87,3 30.60,330.60,-,-
93,Clean Max Sirius Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,183.98,1 40.70,140.70,-,-
94,Clean Max Hybrid Power LLP,Clean Max Enviro Energy Solutions Limited,Aditya Birla Finance Limited,118.19,1 21.50,121.50,-,-
95,Clean Max Arcadia Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,418.09,3 19.00,319.00,-,-
96,Clean Max Ananta Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,283.98,2 17.00,217.00,-,-
97,Clean Max Decimus Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,71.02,5 4.00,54.00,-,-
98,Clean Max Light Power LLP,Clean Max Enviro Energy Solutions Limited,Aditya Birla Finance Limited,-,1 25.81,123.73,-,-
99,Clean Max Bial Renewable Energy Private Limited,Clean Max Enviro Energy Solutions Limited,Bank of Baroda,"1,184.80",8 30.00,"1,014.30",-,-
100,Clean Max Bial Renewable Energy Private Limited,Clean Max Enviro Energy Solutions Limited,Bank of Baroda,609.20,-,513.80,-,-
101,Clean Max Bloom Private Limited,Clean Max Enviro Energy Solutions Limited,Aditya Birla Capital Limited,130.50,-,-,-,-
102,Clean Max Uno Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,96.50,-,72.30,-,-
103,Clean Max Nabia Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,155.00,-,116.20,-,-
104,Clean Max Nabia Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,279.95,-,-,-,-
105,Clean Max Astral Private Limited,Clean Max Enviro Energy Solutions Limited,Aditya Birla Finance Limited,125.00,-,125.00,-,-
106,Clean Max Aria Private Limited,Clean Max Enviro Energy Solutions Limited,Aditya Birla Finance Limited,85.00,-,85.00,-,-
