Name of the Entity,"As at 30th September, 2025",,"As at 30th September, 2024",,"As at 31st March, 2025",,"As at 31st March, 2024",,"As at 31st March, 2023",
,"Net assets, i.e., total assets minus total liabilities",,"Net assets, i.e., total assets minus total liabilities",,"Net assets, i.e., total assets minus total liabilities",,"Net assets, i.e., total assets minus total liabilities",,"Net assets, i.e., total assets minus total
liabilities",
,"As % of consolidated
net assets",Amount,"As % of consolidated net
assets",Amount,"As % of consolidated net
assets",Amount,"As % of consolidated net
assets",Amount,"As % of consolidated
net assets",Amount
Clean Max Como Private Limited,-,0.05,-,-,-,-,-,-,-,-
Clean Max Laguna Private Limited,-,0.05,-,-,-,-,-,-,-,-
Clean Max Peyto Private Limited,-,(0.57),-,-,-,-,-,-,-,-
Clean Max Moraine Private Limited,-,0.05,-,-,-,-,-,-,-,-
Clean Max Emerald Private Limited,-,0.04,-,-,-,-,-,-,-,-
Clean Max Victoria Private Limited,-,0.04,-,-,-,-,-,-,-,-
Clean Max Ahar Private Limited,-,0.03,-,-,-,-,-,-,-,-
Clean Max Aranyam Private Limited,-,0.03,-,-,-,-,-,-,-,-
Clean Max Hana Private Limited,-,0.05,-,-,-,-,-,-,-,-
(II) (b) Foreign subsidiaries:,,,,,,,,,,
Cleanmax Solar Mena FZCO (Consolidated)*,9.36,"3,182.05",6.02,"1,609.75",8 .87,"2,841.53",5 .27,"1 ,178.34",5 .90,866.69
(c) Non-controlling interests,2 1.55,"7,325.22",1 3.22,"3,537.61",2 0.01,"6,412.93",1 7.93,"4 ,005.11",1 7.57,"2,580.13"
(III) Indian joint venture:,,,,,,,,,,
Cleanmax Harsha Solar LLP,0.18,62.14,0.23,61.78,0 .19,60.82,0 .28,6 3.10,0 .43,62.99
(IV) Foreign associate:,,,,,,,,,,
"Clean Max Alpha LeaseCo FZCO (upto 30th September, 2024)",-,-,2.35,629.44,-,-,2 .03,4 53.58,2 .64,387.15
(V) Foreign joint venture:,,,,,,,,,,
"Kanoo Cleanmax Renewables Asset Co W.L.L (w.e.f. 11th September,
2022)**",0.33,110.99,0.13,35.52,0 .31,99.70,0 .15,3 2.92,-,-
"Kanoo Cleanmax Renewables W.L.L (w.e.f. 4th November, 2024)",0.21,72.94,-,-,0 .15,46.84,-,-,-,-
(VI) Adjustments arising out of consolidation,(156.02),"(53,024.19)",(123.91),"(33,159.21)",(141.72),"(45,398.16)",( 139.51),"(31,170.09)",( 148.66),"(21,830.65)"
Total of net assets,100.00,"33,991.87",100.00,"26,761.12",100.00,"32,047.73",1 00.00,"22,339.79",1 00.00,"14,687.56"
