Name of the Entity,"For the six months period
ended 30th September, 2025",,"For the six months period
ended 30th September, 2024",,"For the year ended
31st March, 2025",,"For the year ended
31st March, 2024",,"For the year ended
31st March, 2023",
,Total Comprehensive income/(loss),,Total Comprehensive income/(loss),,Total Comprehensive income/(loss),,Total Comprehensive income/(loss),,Total Comprehensive income/(loss),
,"As % of consolidated
total comprehensive
(income)/loss",Amount,"As % of consolidated
total comprehensive
(income)/loss",Amount,"As % of consolidated total
comprehensive
(income)/loss",Amount,"As % of consolidated total
comprehensive
(income)/loss",Amount,"As % of consolidated
total comprehensive
(income)/loss",Amount
"(I)CleanMaxEnviroEnergySolutionsLimited(formerlyknownasCleanMax
Enviro Energy Solutions Private Limited) (Parent Company)",541.47,"3,719.88",537.52,809.08,"1,361.04","2,980.67",(746.48),"2 ,824.76",( 220.44),"1,320.48"
(II) (a) Indian subsidiaries:,,,,,,,,,,
Clean Max Alchemy Private Limited,(0.16),(1.13),0.09,0.13,0.51,1.12,0.90,( 3.42),-,-
Clean Max Bloom Private Limited,(0.14),(0.98),(0.08),(0.12),(0.17),(0.38),0.07,( 0.25),-,-
Clean Max Cads Private Limited,(0.06),(0.38),(0.04),(0.06),(0.11),(0.23),0.07,( 0.25),-,-
Clean Max Celeste Private Limited,(0.34),(2.32),(5.04),(7.59),(0.68),(1.48),0.50,( 1.90),-,-
Clean Max DOS Private Limited,1.32,9.05,(0.65),(0.98),1.73,3.79,0.04,( 0.17),-,-
Clean Max Eliora Private Limited,4.57,31.42,(10.18),( 15.32),(21.95),( 48.06),0.11,( 0.42),-,-
Clean Max Galaxy Private Limited,(0.01),(0.07),(0.01),(0.01),(0.07),(0.15),0.06,( 0.22),-,-
Clean Max Mirage Private Limited,2.32,15.95,3.53,5.32,(10.42),( 22.83),0.07,( 0.28),-,-
Clean Max Prithvi Private Limited,(0.13),(0.89),(0.04),(0.06),(0.25),(0.55),0.06,( 0.21),-,-
Clean Max Ruby Private Limited,(1.34),(9.19),(0.05),(0.08),(0.13),(0.28),0.05,( 0.20),-,-
Clean Max Opus Private Limited,(0.77),(5.29),2.68,4.04,(14.16),( 31.02),0.66,( 2.50),-,-
Clean Max Terra Private Limited,(6.37),( 43.79),4.33,6.52,(5.97),( 13.07),4.16,( 15.74),-,-
Clean Max Arcadia Private Limited,0.94,6.43,(4.37),(6.58),(1.74),(3.80),0.03,( 0.11),-,-
Clean Max Aria Private Limited,(1.14),(7.85),(0.05),(0.08),(0.10),(0.22),0.02,( 0.09),-,-
Clean Max Astral Private Limited,(0.39),(2.66),(0.08),(0.12),(0.13),(0.28),0.02,( 0.09),-,-
Clean Max Atlas Private Limited,0.07,0.47,(0.07),(0.10),(0.04),(0.08),0.01,( 0.04),-,-
Clean Max Boreal Private Limited,(1.21),(8.29),(0.04),(0.06),(0.12),(0.27),0.02,( 0.09),-,-
Clean Max Celestial Private Limited,58.45,401.58,(0.05),(0.08),-,-,0.01,( 0.04),-,-
Clean Max Delirio Private Limited,(0.11),(0.76),(0.09),(0.13),(0.11),(0.23),0.02,( 0.08),-,-
Clean Max Fragma Private Limited,-,0.02,(0.02),(0.03),(0.06),(0.14),0.02,( 0.09),-,-
Clean Max Magnus Private Limited,(0.03),(0.20),(0.03),(0.05),(0.12),(0.27),0.02,( 0.09),-,-
Clean Max Nabia Private Limited,-,(0.03),(0.44),(0.66),(0.63),(1.37),0.02,( 0.08),-,-
Clean Max Opia Private Limited,(0.01),(0.04),(0.03),(0.04),(0.05),(0.10),0.02,( 0.07),-,-
Clean Max Origo Private Limited,0.04,0.26,(0.05),(0.08),(0.14),(0.31),0.02,( 0.08),-,-
Clean Max Sapphire Private Limited,(0.54),(3.72),(0.03),(0.04),(3.29),(7.20),0.02,( 0.09),-,-
Clean Max Bial Renewable Energy Private Limited,(4.01),( 27.58),(1.22),(1.83),(5.52),( 12.08),2.15,( 8.13),-,-
Clean Max Calypso Private Limited,(0.34),(2.34),(0.86),(1.30),(1.75),(3.84),0.17,( 0.65),-,-
Clean Max Ananta Private Limited,(0.22),(1.52),2.01,3.03,(1.35),(2.95),0.04,( 0.17),-,-
Clean Max Aurora Private Limited,0.19,1.28,(0.01),(0.02),(0.06),(0.14),0.03,( 0.10),-,-
Clean Max Andromeda Private Limited,(0.04),(0.29),(0.02),(0.03),(0.09),(0.20),0.03,( 0.11),-,-
Clean Max Beta Private Limited,(0.10),(0.69),(0.26),(0.39),(0.52),(1.13),0.03,( 0.13),-,-
Clean Max Maya Private Limited,0.53,3.65,(0.38),(0.57),(0.31),(0.68),0.17,( 0.64),-,-
Clean Max Aero Private Limited,(0.13),(0.92),(0.01),(0.02),(0.10),(0.21),0.04,( 0.17),-,-
Clean Max Gaia Private Limited,(0.07),(0.50),(1.22),(1.84),(1.40),(3.06),0.22,( 0.82),-,-
Clean Max Infinia Private Limited,0.01,0.07,(0.11),(0.16),(0.11),(0.24),0.13,( 0.48),-,-
Clean Max Nova Private Limited,(0.34),(2.33),(0.04),(0.06),(0.09),(0.20),0.04,( 0.16),-,-
Clean Max Omni Private Limited,(0.04),(0.26),(0.02),(0.03),(0.10),(0.22),0.10,( 0.39),-,-
Clean Max Sirius Private Limited,0.34,2.37,(0.98),(1.47),(0.65),(1.42),0.08,( 0.31),-,-
Downing Gridco Private Limited,(0.15),(1.00),0.23,0.35,(0.24),(0.53),1.38,( 5.21),-,-
Clean Max Genesis Private Limited,(2.76),( 18.98),(2.96),(4.46),(7.05),( 15.45),0.57,( 2.17),-,-
Clean Max Cogen Solutions Private Limited,1.45,9.93,4.32,6.50,11.16,24.44,(3.92),14.84,( 3.41),20.44
Clean Max Energy Ventures Private Limited,0.18,1.24,0.98,1.47,(0.96),(2.11),1.23,( 4.66),0 .13,(0.78)
Clean Max Power Projects Private Limited,2.62,18.02,9.31,14.01,24.93,54.60,(15.54),58.8,( 7.21),43.19
KAS On Site Power Solutions LLP,5.81,39.91,28.55,42.98,81.43,178.33,(28.65),108.4,( 10.27),61.54
Clean Max IPP 1 Private Limited,6.61,45.41,28.29,42.58,37.64,82.43,(13.84),52.38,( 8.30),49.70
Clean Max IPP 2 Private Limited,6.74,46.32,25.08,37.75,42.90,93.95,(25.91),98.05,( 14.18),84.93
Clean Max Mercury Power Private Limited,7.09,48.72,17.39,26.17,43.88,96.09,(23.68),89.6,( 10.81),64.77
Clean Max Photovoltaic Private Limited,4.09,28.12,23.28,35.04,41.75,91.44,(20.00),75.7,( 8.66),51.86
CMES Jupiter Private Limited,(15.14),( 104.04),15.13,22.77,114.37,250.48,(7.00),26.47,3 .19,(19.09)
CMES Power 1 Private Limited,1.07,7.38,(0.88),(1.33),(5.52),( 12.09),(0.21),0.81,( 4.34),26.00
CMES Power 2 Private Limited,(3.13),( 21.51),9.00,13.54,3.65,7.99,10.41,( 39.41),8 .52,(51.01)
KPJ Renewable Power Projects LLP,(0.87),(5.99),0.66,0.99,0.86,1.88,1.92,( 7.25),1 .23,(7.37)
CMES Infinity Private Limited,0.74,5.07,3.61,5.43,3.81,8.35,(1.29),4 .87,0 .78,(4.69)
CMES Animo LLP#,-,-,-,-,-,-,-,-,( 0.02),0.13
CMES Rhea LLP#,-,-,-,-,-,-,-,-,( 0.02),0.14
CMES Saturn Private Limited,(0.12),(0.83),(0.05),(0.08),0.87,1.90,0.74,( 2.80),0 .55,(3.31)
