Name of the Entity,"For the six months period ended 30th
September, 2025",,"For the six months period ended 30th
September, 2024",,"For the year ended
31st March, 2025",,"For the year ended
31st March, 2024",,"For the year ended
31st March, 2023",
,Total Comprehensive income/(loss),,Total Comprehensive income/(loss),,Total Comprehensive income/(loss),,Total Comprehensive income/(loss),,Total Comprehensive income/(loss),
,"As % of consolidated
total comprehensive
(income)/loss",Amount,"As % of consolidated
total comprehensive
(income)/loss",Amount,"As % of consolidated total
comprehensive
(income)/loss",Amount,"As % of consolidated total
comprehensive
(income)/loss",Amount,"As % of consolidated
total comprehensive
(income)/loss",Amount
Clean Max Thanos Private Limited,(1.34),(9.19),(3.57),(5.37),(5.87),( 12.85),5.75,( 21.76),0 .05,(0.30)
Clean Max Thennal Private Limited,(0.63),(4.36),(1.00),(1.50),(2.43),(5.32),1.74,( 6.57),0 .03,(0.16)
Gadag Power India Private Limited,0.63,4.35,(0.23),(0.34),1.40,3.06,0.38,( 1.44),0 .01,(0.07)
Clean Max Theia Private Limited,(5.27),( 36.23),32.19,48.45,(11.58),( 25.35),20.88,( 79.02),0 .15,(0.88)
Clean Max Solaris Private Limited,(0.03),(0.22),0.10,0.15,0.53,1.15,0.92,( 3.46),-,-
Clean Max Uranus Private Limited,0.79,5.43,5.01,7.54,(6.26),( 13.70),(0.21),0 .80,-,-
Clean Max Uno Private Limited,(0.09),(0.63),(0.27),(0.41),(0.52),(1.13),0.05,( 0.17),-,-
Hem Urja LLP,(0.30),(2.05),2.42,3.64,4.20,9.20,4.10,( 15.52),-,(0.02)
Clean Max Ajanta Private Limited,(0.02),(0.16),-,-,(0.03),(0.07),-,-,-,-
Clean Max Alps Private Limited,(0.01),(0.10),-,-,(0.03),(0.06),-,-,-,-
Clean Max Andes Private Limited,(0.26),(1.76),-,-,(0.11),(0.24),-,-,-,-
Clean Max Centaurus Private Limited,(0.41),(2.79),-,-,(0.03),(0.06),-,-,-,-
Clean Max Denali Private Limited,(0.01),(0.07),-,-,(0.31),(0.68),-,-,-,-
Clean Max Draco Private Limited,(0.10),(0.67),-,-,(0.03),(0.07),-,-,-,-
Clean Max Everest Private Limited,(0.01),(0.06),-,-,(0.32),(0.69),-,-,-,-
Clean Max Everglades Private Limited,(0.04),(0.25),-,-,(0.11),(0.23),-,-,-,-
Clean Max Ganga Private Limited,(0.15),(1.04),-,-,(0.03),(0.06),-,-,-,-
Clean Max Godavari Private Limited,(0.16),(1.08),-,-,(0.19),(0.42),-,-,-,-
Clean Max Hydra Private Limited,(0.07),(0.47),-,-,(0.03),(0.07),-,-,-,-
Clean Max Indus Private Limited,(0.02),(0.17),-,-,(0.06),(0.13),-,-,-,-
Clean Max Kanha Private Limited,(0.06),(0.44),-,-,(0.03),(0.06),-,-,-,-
Clean Max Kaveri Private Limited,-,-,-,-,(0.05),(0.11),-,-,-,-
Clean Max Kaziranga Private Limited,(0.01),(0.04),-,-,(0.03),(0.07),-,-,-,-
Clean Max Leo Private Limited,(0.03),(0.20),-,-,(0.07),(0.16),-,-,-,-
Clean Max Nirvaan Private Limited,(0.04),(0.26),(0.04),(0.06),(0.19),(0.41),-,-,-,-
Clean Max Narmada Private Limited,(0.09),(0.60),-,-,(0.05),(0.10),-,-,-,-
Clean Max Nile Private Limited,(0.11),(0.77),-,-,(0.03),(0.06),-,-,-,-
Clean Max Olympus Private Limited,(0.01),(0.06),-,-,(0.37),(0.82),-,-,-,-
Clean Max Periyar Private Limited,(0.01),(0.04),-,-,(0.03),(0.07),-,-,-,-
Clean Max Sundarban Private Limited,-,(0.01),-,-,(0.03),(0.06),-,-,-,-
Clean Max Tadoba Private Limited,(0.10),(0.67),-,-,(0.03),(0.07),-,-,-,-
Clean Max Taurus Private Limited,(0.05),(0.33),-,-,(0.03),(0.07),-,-,-,-
Clean Max Yamuna Private Limited,(0.30),(2.06),-,-,(0.01),(0.03),-,-,-,-
Clean Max YellowStone Private Limited,(0.21),(1.42),-,-,(0.19),(0.42),-,-,-,-
Clean Max Bryce Private Limited,(0.48),(3.32),(0.04),(0.06),(0.20),(0.44),-,-,-,-
Clean Max Galapagos Private Limited,(0.06),(0.43),(0.05),(0.08),(0.18),(0.39),-,-,-,-
Clean Max Teton Private Limited,(1.25),(8.61),(0.04),(0.06),(0.06),(0.14),-,-,-,-
Clean Max Urjit LLP,0.17,1.18,(0.08),(0.12),(0.51),(1.11),-,-,-,-
Clean Max Ekaiva Private Limited,(0.06),(0.44),(0.07),(0.10),(0.11),(0.24),-,-,-,-
Jagalur Green Energy Power Supply Private Limited,(0.01),(0.06),(0.17),(0.25),(0.22),(0.49),-,-,-,-
Clean Max Jasper Private Limited,(0.17),(1.17),(0.09),(0.13),(0.13),(0.29),-,-,-,-
Clean Max Anchorage Private Limited,1.04,7.12,(0.09),(0.13),(0.13),(0.28),-,-,-,-
Clean Max Kenai Private Limited,(0.01),(0.04),(0.09),(0.13),(0.08),(0.17),-,-,-,-
Clean Max Yosemite Private Limited,2.03,13.98,(0.07),(0.11),(0.11),(0.25),-,-,-,-
Clean Max Prapati Private limited,(0.05),(0.35),(0.09),(0.13),(0.12),(0.27),-,-,-,-
Clean Max Serengeti Private Limited,(0.58),(3.97),(0.09),(0.13),(0.30),(0.66),-,-,-,-
Clean Max Zion Private limited,0.10,0.71,(0.09),(0.13),(1.76),(3.86),-,-,-,-
Clean Max Patagonia Private limited,(1.17),(8.06),(0.09),(0.13),(0.32),(0.71),-,-,-,-
Surya Energy Photo Voltaic India Private Limited,(0.07),(0.48),-,-,78.47,171.85,-,-,-,-
VEH Green Energy Private Limited,(0.25),(1.73),-,-,(0.42),(0.93),-,-,-,-
Clean Max Nevada Private Limited,(0.04),(0.30),-,-,-,-,-,-,-,-
Clean Max Tasman Private Limited,0.10,0.67,-,-,-,-,-,-,-,-
Clean Max Banff Private Limited,(0.15),(1.01),-,-,-,-,-,-,-,-
Clean Max Kruger Private Limited,(0.03),(0.22),-,-,-,-,-,-,-,-
Clean Max Pacific Private Limited,(0.01),(0.10),-,-,-,-,-,-,-,-
Clean Max Polar Private Limited,(0.01),(0.06),-,-,-,-,-,-,-,-
Clean Max Sierra Private Limited,(0.01),(0.10),-,-,-,-,-,-,-,-
Clean Max Solomon Private Limited,(0.01),(0.05),-,-,-,-,-,-,-,-
Clean Max Atlantic Private Limited,(0.01),(0.10),-,-,-,-,-,-,-,-
Clean Max Tahoe Private Limited,(0.10),(0.66),-,-,-,-,-,-,-,-
Clean Max Albatross Private Limited,(0.01),(0.07),-,-,-,-,-,-,-,-
Clean Max Solstice Private Limited,(0.10),(0.72),-,-,-,-,-,-,-,-
Clean Max Karakoram Private Limited,(0.01),(0.06),-,-,-,-,-,-,-,-
