Category of borrowing,Sanctioned Amount*#,"Outstanding amount as on September 30,"
,,2025*
Borrowing of the Company,,
Secured borrowings,,
Term loans,"16,994.00","12,744.14"
- HSBC Bank,"2,700.00",420.00
- ICICI Bank,500.00,454.36
- IDFC First Bank,838.90,120.67
- India Infra Debt,"4,420.00","4,206.41"
- IndusInd Bank,200.00,25.00
- Kotak Infrastructure Debt Fund Limited,892.00,472.52
- TATA Capital Limited,"7,443.10","7,045.18"
Overdrafts/ cash credit/ short term loan,"4,000.00",682.05
- YES Bank,"4,000.00",682.05
Non-Convertible Debentures@,"5,990.00","5,990.00"
- Listed Nonconvertible Debentures,"4,990.00","4,990.00"
- Unlisted Nonconvertible Debentures,"1,000.00","1,000.00"
Vehicle loans,30.24,15.66
- Axis Bank,1.72,1.46
- HDFC Bank,2.17,0.54
- Yes Bank,26.36,13.66
Total (A),"27,014.24","19,431.85"
Borrowing of the Subsidiaries^,,
Secured borrowing,,
Term loans,"112,793.11","83,179.43"
- Aditya Birla Capital Limited,"5,938.00","2,779.01"
- Aseem Infrastructure Finance Ltd,"2,921.40","1,278.36"
- Bank of Baroda,"27,303.06","17,492.54"
- Exim Bank,"1,250.00",693.74
- Federal Bank Ltd,"1,225.00",963.75
- HSBC BANK MIDDLE EAST LIMITED,"2,392.97","2,047.18"
- India Infradebt Limited,"7,031.80","5,291.58"
- IndusInd Bank Limited,"5,665.00","3,305.92"
- International Finance Corporation,"4,060.73","2,151.84"
- Kotak Infrastructure Debt Fund Limited,494.40,277.84
- Kotak Mahindra Bank,"2,524.50","2,417.27"
- NABFID,"3,452.00","3,132.81"
- NIIF Infrastructure Finance Limited,"16,690.01","14,152.82"
- Power Finance Corporation Limited,"7,652.90","7,255.77"
- RBL Bank,476.50,416.61
- Standard Chartered Bank,"1,640.00",910.14
- State Bank of India,"10,706.34","9,126.67"
- TATA Capital Limited,"11,368.50","9,485.58"
Total (B),"112,793.11","83,179.43"
Total outstanding borrowing (A + B),"139,807.35","102,611.28"
Less: EIR impact***,,"(1,396.68)"
Total borrowings$,,"101,214.60"
