,"For the six months ended September 30,",,,,,,,,Fiscal,,,,,,,,,,,
,2025,,,,2024,,,,2025,,,,2024,,,,2023,,,
,,,,,Reven,,,,Reven,,,,Reven,,,,Reven,,,
,,,,Gross,ue,,,Gross,ue,,,Gross,ue,,,Gross,ue,,,Gross
,Revenue,,Gross,Margi,from,,Gross,Margi,from,,Gross,Margi,from,,Gross,Margi,from,,Gross,Margi
Particu,from,,Margi,n(3),operat,,Margi,n(3),operat,,Margi,n(3),operat,,Margi,n(3),operat,,Margi,n(3)
lars,operations,Cost(1),n (2),(%),ions,Cost(1),n (2),(%),ions,Cost(1),n (2),(%),ions,Cost(1),n (2),(%),ions,Cost(1),n (2),(%)
"Renewa
ble
Energy
Power
Sales","7,192.15",567.96,"6,624.
19","90.78
%","5,736.
14",401.11,"5,335.
03","94.92
%","11,072
.48",823.99,"10,248
.49","94.39
%","8,663.
33",575.20,"8,088.
13","86.15
%","4,748.
15",309.69,"4,438.
46","88.34
%"
"Renewa
ble
Energy
Service
s","2,050.07","1,377.
60",672.47,9.22%,980.44,694.83,285.61,5.08%,"3,766.
53","3,157.
58",608.95,5.61%,"5,180.
04","3,879.
50","1,300.
54","13.85
%","4,547.
67","3,961.
88",585.79,"11.66
%"
"other
unalloc
able",87.31,87.31,-,0.00%,48.08,48.08,-,0.00%,118.00,118.00,-,-,55.00,55.00,-,-,-,-,-,-
Total,"9,329.53","2,032.
87","7,296.
66",100%,"6,764.
66","1,144.
02","5,620.
64",100%,"14,957
.01","4,099.
57","10,857
.44",100%,"13,898
.37","4,509.
70","9,388.
67",100%,"9,295.
82","4,271.
57","5,024.
25",100%
