page,table_index,rows,cols,csv_file,csv_path
582,0,15,5,page_0582_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CLEAN MAX ENVIRO ENERGY SOLUTIONS LIMITED - RHP\dumped_tables\page_0582_table_00.csv
583,0,11,5,page_0583_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CLEAN MAX ENVIRO ENERGY SOLUTIONS LIMITED - RHP\dumped_tables\page_0583_table_00.csv
586,0,9,8,page_0586_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CLEAN MAX ENVIRO ENERGY SOLUTIONS LIMITED - RHP\dumped_tables\page_0586_table_00.csv
587,0,7,8,page_0587_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CLEAN MAX ENVIRO ENERGY SOLUTIONS LIMITED - RHP\dumped_tables\page_0587_table_00.csv
593,0,18,8,page_0593_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CLEAN MAX ENVIRO ENERGY SOLUTIONS LIMITED - RHP\dumped_tables\page_0593_table_00.csv
594,0,37,8,page_0594_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CLEAN MAX ENVIRO ENERGY SOLUTIONS LIMITED - RHP\dumped_tables\page_0594_table_00.csv
595,0,36,8,page_0595_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CLEAN MAX ENVIRO ENERGY SOLUTIONS LIMITED - RHP\dumped_tables\page_0595_table_00.csv
596,0,34,8,page_0596_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CLEAN MAX ENVIRO ENERGY SOLUTIONS LIMITED - RHP\dumped_tables\page_0596_table_00.csv
597,0,35,8,page_0597_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CLEAN MAX ENVIRO ENERGY SOLUTIONS LIMITED - RHP\dumped_tables\page_0597_table_00.csv
598,0,30,8,page_0598_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CLEAN MAX ENVIRO ENERGY SOLUTIONS LIMITED - RHP\dumped_tables\page_0598_table_00.csv
599,0,22,8,page_0599_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CLEAN MAX ENVIRO ENERGY SOLUTIONS LIMITED - RHP\dumped_tables\page_0599_table_00.csv
599,1,3,2,page_0599_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CLEAN MAX ENVIRO ENERGY SOLUTIONS LIMITED - RHP\dumped_tables\page_0599_table_01.csv
604,0,6,2,page_0604_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CLEAN MAX ENVIRO ENERGY SOLUTIONS LIMITED - RHP\dumped_tables\page_0604_table_00.csv
604,1,4,2,page_0604_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CLEAN MAX ENVIRO ENERGY SOLUTIONS LIMITED - RHP\dumped_tables\page_0604_table_01.csv
609,0,3,2,page_0609_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CLEAN MAX ENVIRO ENERGY SOLUTIONS LIMITED - RHP\dumped_tables\page_0609_table_00.csv
