,a. Subsidiary companies/ LLPs,"Principal
place of
business /
country of
incorporation","As at 30th
September,
2025
(%)","As at 30th
September,
2024
(%)","As at 31st
March,
2025
(%)","As at 31st
March,
2024
(%)","As at 31st
March,
2023
(%)"
1,CMES Power 1 Private Limited,India,100,100,100,100,100
2,Clean Max IPP 1 Private Limited,India,100,100,100,100,100
3,CMES Infinity Private Limited,India,100,100,100,100,100
4,"Clean Max Aditya Power Private
Limited",India,100,100,100,100,100
5,Clean Max Hyperion Power LLP,India,54,54,54,54,100
6,KAS Onsite Power Solutions LLP,India,94,74,74,74,74
7,"Clean Max Photovoltaic Private
Limited",India,100,100,100,100,100
8,"Clean Max Power Projects Private
Limited",India,100,100,100,100,100
9,Clean Max IPP 2 Private Limited,India,100,100,100,100,100
10,"Clean Max Mercury Power Private
Limited",India,100,100,100,100,100
11,CMES Power 2 Private Limited,India,100,100,100,100,100
12,"Clean Max Scorpius Private
Limited",India,74,74,74,74,74
13,Clean Max Power 3 LLP,India,74,74,74,74,68
14,"Clean Max Vent Power Private
Limited",India,100,100,100,100,100
15,"Chitradurga Renewable Energy
India Private Limited",India,100,100,100,100,100
16,CMES Jupiter Private Limited,India,100,100,100,100,100
17,"KPJ Renewable Power Projects
LLP",India,100,100,100,100,100
,a. Subsidiary companies/ LLPs,"Principal
place of
business /
country of
incorporation","As at 30th
September,
2025
(%)","As at 30th
September,
2024
(%)","As at 31st
March,
2025
(%)","As at 31st
March,
2024
(%)","As at 31st
March,
2023
(%)"
18,"Clean Max Cogen Solutions
Private Limited",India,100,100,100,100,100
19,"Clean Max Energy Ventures
Private Limited",India,100,100,100,100,100
20,"Clean Max Khanak Private
Limited",India,74,74,74,74,74
21,CMES Saturn Private Limited,India,100,100,100,100,100
22,Clean Max Pluto Solar Power LLP,India,74,74,74,74,60
23,Clean Max Vega Power LLP,India,74,74,74,74,66
24,Clean Max Deneb Power LLP,India,74,74,74,74,56
25,Clean Max Scorpius Power LLP,India,74,74,74,74,74
26,Clean Max Auriga Power LLP,India,67,67,67,67,74
27,Clean Max Vital Energy LLP,India,74,74,74,74,74
28,Clean Max Circe Power LLP,India,100,100,100,100,100
29,Clean Max Proclus Energy LLP,India,100,100,100,100,100
30,Clean Max Fusion Power LLP,India,100,100,100,100,100
31,Clean Max Hybrid Power LLP,India,74,74,74,100,100
32,Clean Max Charge LLP,India,74,74,74,74,100
33,"Clean Max Bhoomi Private
Limited",India,100,100,100,100,100
34,"Clean Max Sphere Energy Private
Limited",India,100,100,100,100,100
35,Clean Max Vayu Private Limited,India,80,80,80,80,80
36,Clean Max Suryamukhi LLP,India,100,100,100,100,100
37,Clean Max Regulus Power LLP,India,100,100,100,100,100
38,Clean Max Orion Power LLP,India,74,74,74,74,74
39,Clean Max IPP3 Power LLP,India,100,100,100,100,100
40,Clean Max Light Power LLP,India,74,74,74,74,100
41,Clean Max Venus Power LLP,India,100,100,100,100,100
42,Clean Max Apollo Power LLP,India,100,100,100,100,100
43,Clean Max Zeus Private Limited,India,100,100,100,100,100
44,"Clean Max Maximus Private
Limited",India,100,100,100,100,100
45,Clean Max Kratos Private Limited,India,74,74,74,74,74
