,Segment revenue,"For the six months period
ended 30th September, 2025","For the six months period
ended 30th September, 2024","For the year ended
31st March, 2025","For the year ended
31st March, 2024","For the year ended
31st March, 2023"
"(a)
(b)
(c)","Segment A - Renewable Energy Power Sales
Segment B - Renewable Energy Services
Other unallocable","7 ,192.15
2 ,050.07
8 7.31","5,736.14
980.45
48.07","11,072.48
3,766.53
118.00","8 ,663.33
5 ,180.04
5 5.00","4 ,748.15
4 ,547.67
-"
,Revenue from operations,"9 ,329.53","6 ,764.66","1 4,957.01","1 3,898.37","9 ,295.82"
,Segment gross margin,"For the six months period
ended 30th September, 2025","For the six months period
ended 30th September, 2024","For the year ended
31st March, 2025","For the year ended
31st March, 2024","For the year ended
31st March, 2023"
"(a)
(b)
(c)","Segment A - Renewable Energy Power Sales
Segment B - Renewable Energy Services
Other unallocable","6 ,624.19
6 72.47
-","5,335.03
285.62
-","10,248.49
608.95
-","8 ,088.13
1 ,300.54
-","4 ,438.46
5 85.79
-"
,Gross margin,"7 ,296.66","5 ,620.65","1 0,857.44","9 ,388.67","5 ,024.25"
,Segment EBITDA,"For the six months period
ended 30th September, 2025","For the six months period
ended 30th September, 2024","For the year ended
31st March, 2025","For the year ended
31st March, 2024","For the year ended
31st March, 2023"
"(a)
(b)
(b)","Segment A - Renewable Energy Power Sales
Segment B - Renewable Energy Services
Other unallocable","6 ,179.27
5 21.41
(322.10)","4,953.92
253.48
(320.00)","9,552.70
540.61
57.41","6 ,670.92
1 ,051.44
(306.63)","3 ,764.17
4 81.80
( 186.78)"
,EBITDA,"6 ,378.58","4 ,887.40","1 0,150.72","7 ,415.73","4 ,059.19"
,Segment results,"For the six months period
ended 30th September, 2025","For the six months period
ended 30th September, 2024","For the year ended
31st March, 2025","For the year ended
31st March, 2024","For the year ended
31st March, 2023"
"(a)
(b)","Segment A - Renewable Energy Power Sales
Segment B - Renewable Energy Services","2 ,526.87
1 87.44","1,987.72
253.48","3,247.74
540.61","1 ,851.71
1 ,051.44","1 ,717.17
4 81.80"
,Segment results,"2 ,714.31","2 ,241.20","3 ,788.35","2 ,903.15","2 ,198.97"
,"Other unallocable
Depreciation, impairment and amortisation expenses
Exceptional items
Total tax expense
Profit/(Loss) for the period/year","(460.79)
1 ,722.57
-
3 40.91
1 90.04","(378.95)
1,361.53
-
435.54
6 5.18","(190.98)
2,999.90
-
403.18
1 94.29","(518.21)
2 ,215.32
1 07.66
4 38.39
( 376.43)","( 292.47)
1 ,176.15
8 91.90
433.18
( 594.73)"
