Particulars,As at and for the six months,,As at and for the Financial Year ended,,
,period ended,,,,
,September,"September 30,","March 31, 2025","March 31, 2024","March 31, 2023"
,"30, 2025",2024,,,
"Restated Earnings per equity share (Face value
of ₹ 1/-) (Rs. Per share)(1)",,,,,
-basic,1.09,0.36,2.88,(3.94),(9.01)
-diluted,1.05,0.35,2.79,(3.94),(9.01)
Restated Profit/ (Loss) for the period/year,190.04,65.18,194.29,(376.43),(594.73)
Return on Net Worth (%) (2),0.43,0.15,1.09,(1.70),(5.39)
"Net Asset value per equity share (bonus and split
adjusted) (₹)(3)",256.14,236.29,250.93,206.62,166.80
EBITDA (in ₹ million)(4),"6,378.58","4,887.40","10,150.72","7,415.73","4,059.19"
