"Sr.
No.",From,To,"As at
30th September, 2025","As at
30th September, 2024","As at
31st March, 2025","As at
31st March, 2024","As at
31st March, 2023"
1,Clean Max Enviro Energy Solutions Limited,KAS Onsite Power Solutions LLP,0.11,-,0.11,15.87,9.67
2,Clean Max Enviro Energy Solutions Limited,KPJ Renewable Power Projects LLP,-,39.22,0.00*,39.22,0.30
3,Clean Max Enviro Energy Solutions Limited,Clean Max Harsha Solar LLP,0.74,0.04,0.75,1.34,0.01
4,Clean Max Enviro Energy Solutions Limited,Clean Max Venus Power LLP,-,0.32,0.38,0.32,0.27
5,Clean Max Enviro Energy Solutions Limited,Clean Max Suryamukhi LLP,-,1.94,1.95,1.94,0.51
6,Clean Max Enviro Energy Solutions Limited,HET Energy Technology LLP,-,0.14,0.06,3.32,172.19
7,Clean Max Enviro Energy Solutions Limited,Clean Max Pluto Solar Power LLP,-,19.98,0.16,15.82,-
8,Clean Max Enviro Energy Solutions Limited,Clean Max Vega Power LLP,-,22.60,34.69,2.94,14.50
9,Clean Max Enviro Energy Solutions Limited,Clean Max Deneb Power LLP,-,14.08,31.09,4.95,16.45
10,Clean Max Enviro Energy Solutions Limited,Clean Max Regulus Power LLP,-,0.58,0.59,0.53,0.48
11,Clean Max Enviro Energy Solutions Limited,Clean Max Auriga Power LLP,-,0.45,2.17,0.41,15.71
12,Clean Max Enviro Energy Solutions Limited,Clean Max Scorpius Power LLP,-,50.09,1.41,7.07,1.03
13,Clean Max Enviro Energy Solutions Limited,Clean Max Orion Power LLP,-,7.17,3.79,0.15,13.97
14,Clean Max Enviro Energy Solutions Limited,Clean Max Fusion Power LLP,-,1.39,1.58,0.01,0.00*
15,Clean Max Enviro Energy Solutions Limited,Clean Max IPP 3 Power LLP,-,0.23,0.28,0.23,0.18
16,Clean Max Enviro Energy Solutions Limited,Clean Max Power 3 LLP,-,0.22,0.66,6.22,1.41
17,Clean Max Enviro Energy Solutions Limited,Clean Max Apollo Power LLP,-,0.09,0.14,0.03,0.00*
18,Clean Max Enviro Energy Solutions Limited,Clean Max Hybrid Power LLP,-,5.98,8.76,17.59,0.19
19,Clean Max Enviro Energy Solutions Limited,Clean Max Charge LLP,-,25.43,0.04,80.93,1.60
20,Clean Max Enviro Energy Solutions Limited,Clean Max Light Power LLP,-,27.72,30.81,81.00,1.65
21,Clean Max Enviro Energy Solutions Limited,Clean Max Hyperion Power LLP,9.76,9.73,9.76,9.69,9.39
22,Clean Max Enviro Energy Solutions Limited,Clean Max Vital Energy LLP,-,0.11,0.44,-,0.69
23,Clean Max Enviro Energy Solutions Limited,Clean Max Proclus Energy LLP,-,0.23,0.29,0.19,0.14
24,Clean Max Enviro Energy Solutions Limited,Clean Max Circe Power LLP,-,0.27,0.27,0.20,0.15
25,Clean Max Enviro Energy Solutions Limited,Clean Max Urjit LLP,-,0.08,0.32,-,-
26,Clean Max Enviro Energy Solutions Limited,Clean Max Cogen Solutions Private Limited,-,1.75,1.76,0.95,0.03
27,Clean Max Enviro Energy Solutions Limited,Clean Max Power Projects Private Limited,-,-,15.87,10.73,0.00*
28,Clean Max Enviro Energy Solutions Limited,Clean Max Energy Ventures Private Limited,-,4.53,7.98,4.12,0.50
29,Clean Max Enviro Energy Solutions Limited,Clean Max IPP 1 Private Limited,0.02,1.52,0.02,0.77,0.35
30,Clean Max Enviro Energy Solutions Limited,Clean Max IPP 2 Private Limited,-,0.64,3.05,6.92,-
31,Clean Max Enviro Energy Solutions Limited,Clean Max Photovoltaic Private Limited,-,-,14.79,3.03,0.02
32,Clean Max Enviro Energy Solutions Limited,Clean Max Mercury Power Private Limited,-,1.75,16.99,5.71,0.01
33,Clean Max Enviro Energy Solutions Limited,CMES Jupiter Private Limited,-,797.88,206.30,284.12,266.42
34,Clean Max Enviro Energy Solutions Limited,CMES Power 1 Private Limited,1.19,6.75,1.26,6.08,5.61
35,Clean Max Enviro Energy Solutions Limited,CMES Power 2 Private Limited,-,168.81,53.66,71.32,20.31
36,Clean Max Enviro Energy Solutions Limited,"Chitradurga Renewable Energy India Private
Limited",-,7.48,0.00*,7.47,7.33
37,Clean Max Enviro Energy Solutions Limited,CMES Saturn Private Limited,-,3.86,3.90,2.31,1.38
"Sr.
No.",From,To,"As at
30th September, 2025","As at
30th September, 2024","As at
31st March, 2025","As at
31st March, 2024","As at
31st March, 2023"
38,Clean Max Enviro Energy Solutions Limited,CMES Infinity Private Limited,-,-,0.01,0.01,2.48
39,Clean Max Enviro Energy Solutions Limited,Downing Gridco Private Limited,-,14.71,14.43,12.84,-
40,Clean Max Enviro Energy Solutions Limited,Clean Max Surya Energy Private Limited,-,146.42,83.76,54.06,16.88
41,Clean Max Enviro Energy Solutions Limited,Clean Max Aditya Power Private Limited,1.25,1.24,1.25,0.87,(0.03)
42,Clean Max Enviro Energy Solutions Limited,Clean Max Scorpius Private Limited,-,69.80,11.87,15.45,4.78
43,Clean Max Enviro Energy Solutions Limited,Clean Max Vent Power Private Limited,-,4.39,10.62,2.97,166.31
44,Clean Max Enviro Energy Solutions Limited,Clean Max Sphere Energy Private Limited,-,0.21,0.27,0.14,0.09
45,Clean Max Enviro Energy Solutions Limited,Clean Max Bhoomi Private Limited,-,35.04,56.49,11.06,0.00*
46,Clean Max Enviro Energy Solutions Limited,Clean Max Khanak Private Limited,-,0.02,2.53,-,6.00
47,Clean Max Enviro Energy Solutions Limited,Clean Max Vayu Private Limited,-,492.22,649.68,88.74,33.91
48,Clean Max Enviro Energy Solutions Limited,Clean Max Zeus Private Limited,109.56,104.65,109.56,102.81,19.19
49,Clean Max Enviro Energy Solutions Limited,Clean Max Maximus Private Limited,-,128.05,23.10,25.65,0.00*
50,Clean Max Enviro Energy Solutions Limited,Clean Max Kratos Private Limited,10.2,10.19,10.20,-,29.78
51,Clean Max Enviro Energy Solutions Limited,Clean Max IPP 4 Power Private Limited,-,0.20,0.21,0.05,0.01
52,Clean Max Enviro Energy Solutions Limited,Clean Max Thennal Private Limited,-,50.23,29.04,46.28,0.07
53,Clean Max Enviro Energy Solutions Limited,Clean Max Hybrid 2 Power Private Limited,-,8.24,8.26,3.10,9.28
54,Clean Max Enviro Energy Solutions Limited,Clean Max Dhyuthi Private Limited,-,11.63,11.65,10.81,9.03
55,Clean Max Enviro Energy Solutions Limited,Clean Max Power 4 Private Limited,-,12.11,12.31,0.34,4.62
56,Clean Max Enviro Energy Solutions Limited,Clean Max Rudra Private Limited,-,1.10,1.41,1.44,3.47
57,Clean Max Enviro Energy Solutions Limited,Clean Max Theia Private Limited,136.51,125.50,136.51,149.66,1.60
58,Clean Max Enviro Energy Solutions Limited,Clean Max Plutus Private Limited,-,10.49,1.68,18.11,0.72
59,Clean Max Enviro Energy Solutions Limited,Clean Max Astria Private Limited,-,7.06,7.10,13.57,10.16
60,Clean Max Enviro Energy Solutions Limited,Gadag Power India Private Limited,-,193.09,0.11,37.17,100.77
61,Clean Max Enviro Energy Solutions Limited,Clean Max Matahari Private Limited,-,10.81,5.61,2.21,-
62,Clean Max Enviro Energy Solutions Limited,Clean Max Meridius Private Limited,-,1.05,1.07,6.56,9.30
63,Clean Max Enviro Energy Solutions Limited,Clean Max Thanos Private Limited,-,-,0.02,13.44,0.68
64,Clean Max Enviro Energy Solutions Limited,Clean Max Tav Private Limited,-,6.29,2.11,6.14,1.04
65,Clean Max Enviro Energy Solutions Limited,Clean Max Arnav Private Limited,-,18.44,0.81,11.24,1.07
66,Clean Max Enviro Energy Solutions Limited,Clean Max Decimus Private Limited,-,6.68,10.04,0.14,0.05
67,Clean Max Enviro Energy Solutions Limited,Clean Max Dhruve Private Limited,-,0.42,0.43,0.31,0.07
68,Clean Max Enviro Energy Solutions Limited,Clean Max Ame Private Limited,-,0.13,0.46,0.10,0.03
69,Clean Max Enviro Energy Solutions Limited,Clean Max Kaze Private Limited,-,0.06,0.07,0.06,0.05
70,Clean Max Enviro Energy Solutions Limited,Clean Max Balam Private Limited,-,5.10,8.49,11.16,0.05
71,Clean Max Enviro Energy Solutions Limited,Clean Max Saura Private Limited,-,10.31,9.45,3.94,0.04
72,Clean Max Enviro Energy Solutions Limited,Clean Max Bloom Private Limited,-,0.22,2.43,0.15,0.10
73,Clean Max Enviro Energy Solutions Limited,Clean Max Eliora Private Limited,-,"1,218.75",111.53,12.03,0.10
74,Clean Max Enviro Energy Solutions Limited,Clean Max Genesis Private Limited,54.91,12.80,54.91,-,0.10
75,Clean Max Enviro Energy Solutions Limited,Clean Max Prithvi Private Limited,1.18,14.79,1.11,0.10,0.05
76,Clean Max Enviro Energy Solutions Limited,Clean Max Cads Private Limited,-,0.20,0.39,0.14,0.08
77,Clean Max Enviro Energy Solutions Limited,Clean Max Opus Private Limited,17.02,16.16,17.02,56.27,0.05
78,Clean Max Enviro Energy Solutions Limited,Clean Max Solaris Private Limited,-,11.01,0.01,10.86,0.09
79,Clean Max Enviro Energy Solutions Limited,Clean Max Alchemy Private Limited,-,10.96,0.01,10.83,0.05
80,Clean Max Enviro Energy Solutions Limited,Clean Max Celeste Private Limited,-,4.54,5.37,14.21,0.05
"Sr.
No.",From,To,"As at
30th September, 2025","As at
30th September, 2024","As at
31st March, 2025","As at
31st March, 2024","As at
31st March, 2023"
81,Clean Max Enviro Energy Solutions Limited,Clean Max Galaxy Private Limited,-,0.14,0.17,0.11,0.09
82,Clean Max Enviro Energy Solutions Limited,Clean Max Mirage Private Limited,-,18.15,47.58,23.23,0.05
83,Clean Max Enviro Energy Solutions Limited,Clean Max Dos Private Limited,-,6.88,20.80,0.06,0.05
84,Clean Max Enviro Energy Solutions Limited,Clean Max Uranus Private Limited,-,30.13,44.59,15.19,0.05
85,Clean Max Enviro Energy Solutions Limited,Clean Max Calypso Private Limited,-,36.49,56.27,0.17,-
86,Clean Max Enviro Energy Solutions Limited,Clean Max Gamma Private Limited,-,31.02,296.17,25.49,-
87,Clean Max Enviro Energy Solutions Limited,Clean Max Maya Private Limited,-,19.54,31.81,0.05,-
88,Clean Max Enviro Energy Solutions Limited,Clean Max Omni Private Limited,-,0.29,6.33,0.17,-
89,Clean Max Enviro Energy Solutions Limited,Clean Max Terra Private Limited,-,587.89,60.12,11.06,-
90,Clean Max Enviro Energy Solutions Limited,Clean Max Infinia Private Limited,-,11.69,17.21,0.05,-
91,Clean Max Enviro Energy Solutions Limited,Clean Max Gaia Private Limited,-,0.96,0.98,0.30,-
92,Clean Max Enviro Energy Solutions Limited,Clean Max Nova Private Limited,-,0.13,5.54,0.04,-
93,Clean Max Enviro Energy Solutions Limited,Clean Max Aero Private Limited,-,0.08,54.47,0.05,-
94,Clean Max Enviro Energy Solutions Limited,Clean Max Sirius Private Limited,-,15.69,24.70,0.05,-
