Name of the Entity,"As at 30th September, 2025",,"As at 30th September, 2024",,"As at 31st March, 2025",,"As at 31st March, 2024",,"As at 31st March, 2023",
,"Net assets, i.e., total assets minus total liabilities",,"Net assets, i.e., total assets minus total liabilities",,"Net assets, i.e., total assets minus total liabilities",,"Net assets, i.e., total assets minus total liabilities",,"Net assets, i.e., total assets minus total
liabilities",
,"As % of consolidated
net assets",Amount,"As % of consolidated net
assets",Amount,"As % of consolidated net
assets",Amount,"As % of consolidated net
assets",Amount,"As % of consolidated
net assets",Amount
"(I)CleanMaxEnviroEnergySolutionsLimited(formerlyknownasCleanMax
Enviro Energy Solutions Private Limited) (Parent Company)",1 11.53,"37,911.84",1 11.36,"29,799.94",106.08,"33,995.66",1 10.93,"2 4,782.28",1 05.79,"15,538.66"
(II) (a) Indian subsidiaries:,,,,,,,,,,
Clean Max Alchemy Private Limited,( 0.01),(3.33),( 0.01),(3.19),( 0.01),(2.20),( 0.01),( 3.32),-,-
Clean Max Bloom Private Limited,0.09,31.84,0.12,33.09,0 .10,32.84,-,( 0.15),-,-
Clean Max Cads Private Limited,0.05,18.12,-,(0.20),0 .06,18.50,-,( 0.15),-,-
Clean Max Celeste Private Limited,0.34,115.48,0.42,111.67,0 .37,117.77,0 .53,1 19.25,-,-
Clean Max DOS Private Limited,0.23,78.79,0.24,64.96,0 .22,69.74,-,( 0.07),-,-
Clean Max Eliora Private Limited,5.36,"1,820.41",1.12,299.29,5 .54,"1,776.90",1 .41,3 14.61,-,-
Clean Max Galaxy Private Limited,-,(0.33),-,(0.14),-,(0.27),-,( 0.12),-,-
Clean Max Mirage Private Limited,0.82,280.30,0.56,151.07,0 .82,264.34,0 .65,1 45.75,-,-
Clean Max Prithvi Private Limited,1.07,362.03,-,(0.17),1 .13,362.94,-,( 0.11),-,-
Clean Max Ruby Private Limited,1.45,491.39,-,(0.19),0 .78,250.10,-,( 0.10),-,-
Clean Max Opus Private Limited,0.85,287.48,1.22,327.82,0 .91,292.78,1 .45,3 23.80,-,-
Clean Max Terra Private Limited,2.90,985.35,3.84,"1,028.37",3 .15,"1,008.78",4 .57,"1 ,021.83",-,-
Clean Max Arcadia Private Limited,0.61,208.14,0.74,198.92,0 .63,201.70,-,( 0.01),-,-
Clean Max Aria Private Limited,0.23,76.91,-,(0.07),0 .26,84.74,-,0 .01,-,-
Clean Max Astral Private Limited,0.07,22.55,0.09,25.37,0 .08,25.20,-,0 .01,-,-
Clean Max Atlas Private Limited,-,0.46,-,(0.04),-,(0.02),-,0 .06,-,-
Clean Max Boreal Private Limited,0.49,166.45,-,(0.05),0 .55,174.74,-,0 .01,-,-
