"Name of the
Lender","Nature of the
facility",,,"Amount
sanction
ed","Amount
outstandi
ng","Details of
security
interest",,,Interest,,,"Tenur
e of
the
facilit
y",,Pre-,
,,,,,,,,,,,,,,Payme,
,,,,,,,,,,,,,,nt,
,,,,,,,,,,,,,,penalt,
,,,,,,,,,,,,,,"y, if",
,,,,,,,,,,,,,,any,
Citi bank NA,,Cash Credit Loan -,,200.00,-,,Stock & Book,,9%,,,Yearly,NA,NA,
,,Fund Based,,,,,debt,,,,,,,,
ICICI Bank,,Cash Credit Loan -,,500.00,-,,Stock & Book,,9%,,,Yearly,NA,,
,,Fund Based,,,,,debt,,,,,,,,
ICICI Bank,Over draft facility,Over draft facility,,399.10,43.31,,Fixed,,,0.15% over,,Yearly,NA,,
,,,,,,,Deposits,,,FD rate,,,,,
HDFC Bank,Over draft facility,,,884.00,17.47,,Fixed,,,0.10% over,,Yearly,NA,,
,,,,,,,Deposits,,,FD rate,,,,,
ICICI Bank,Bank Guarantee,,,100.00,5.34,,Stock & Book,,0.50%,0.50%,,Yearly,NA,,
,,,,,,,debt,,,,,,,,
HDFC Bank,Bank Guarantee,,,20.00,10.42,,Fixed,,1.00%,,,Yearly,NA,,
,,,,,,,Deposits,,,,,,,,
ICICI Bank,Letter Credit,,,100.00,19.15,,Stock & Book,,0.50%,,,Yearly,NA,,
,,,,,,,debt,,,,,,,,
HDFC Bank,Letter Credit,,,90.00,-,,Fixed,,1.00%,,,Yearly,NA,,
,,,,,,,Deposits,,,,,,,,
Citi bank NA,Bank Guarantee,,,50.00,-,,Stock & Book,,,,,,,,
,,,,,,,debt,,,,,,,,
Citi bank NA,Letter Credit,,,200.00,-,,Stock & Book,,,,,,,,
,,,,,,,debt,,,,,,,,
Citi bank NA,Export Limit,,,100.00,-,,Stock & Book,,,,,,,,
,,,,,,,debt,,,,,,,,
