page,table_index,rows,cols,csv_file,csv_path
290,0,3,5,page_0290_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CORONA Remedies Limited - RHP\dumped_tables\page_0290_table_00.csv
292,0,15,6,page_0292_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CORONA Remedies Limited - RHP\dumped_tables\page_0292_table_00.csv
293,0,26,6,page_0293_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CORONA Remedies Limited - RHP\dumped_tables\page_0293_table_00.csv
294,0,4,9,page_0294_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CORONA Remedies Limited - RHP\dumped_tables\page_0294_table_00.csv
294,1,8,5,page_0294_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CORONA Remedies Limited - RHP\dumped_tables\page_0294_table_01.csv
295,0,5,5,page_0295_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CORONA Remedies Limited - RHP\dumped_tables\page_0295_table_00.csv
296,0,14,5,page_0296_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CORONA Remedies Limited - RHP\dumped_tables\page_0296_table_00.csv
297,0,3,5,page_0297_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CORONA Remedies Limited - RHP\dumped_tables\page_0297_table_00.csv
308,0,4,12,page_0308_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CORONA Remedies Limited - RHP\dumped_tables\page_0308_table_00.csv
308,1,4,12,page_0308_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CORONA Remedies Limited - RHP\dumped_tables\page_0308_table_01.csv
309,0,4,12,page_0309_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CORONA Remedies Limited - RHP\dumped_tables\page_0309_table_00.csv
309,1,4,12,page_0309_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CORONA Remedies Limited - RHP\dumped_tables\page_0309_table_01.csv
310,0,2,4,page_0310_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CORONA Remedies Limited - RHP\dumped_tables\page_0310_table_00.csv
310,1,3,5,page_0310_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CORONA Remedies Limited - RHP\dumped_tables\page_0310_table_01.csv
311,0,2,5,page_0311_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CORONA Remedies Limited - RHP\dumped_tables\page_0311_table_00.csv
311,1,3,6,page_0311_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CORONA Remedies Limited - RHP\dumped_tables\page_0311_table_01.csv
311,2,3,6,page_0311_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CORONA Remedies Limited - RHP\dumped_tables\page_0311_table_02.csv
311,3,3,6,page_0311_table_03.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CORONA Remedies Limited - RHP\dumped_tables\page_0311_table_03.csv
311,4,3,6,page_0311_table_04.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CORONA Remedies Limited - RHP\dumped_tables\page_0311_table_04.csv
312,0,4,11,page_0312_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CORONA Remedies Limited - RHP\dumped_tables\page_0312_table_00.csv
312,1,4,11,page_0312_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CORONA Remedies Limited - RHP\dumped_tables\page_0312_table_01.csv
312,2,4,11,page_0312_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CORONA Remedies Limited - RHP\dumped_tables\page_0312_table_02.csv
312,3,4,11,page_0312_table_03.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CORONA Remedies Limited - RHP\dumped_tables\page_0312_table_03.csv
312,4,3,5,page_0312_table_04.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CORONA Remedies Limited - RHP\dumped_tables\page_0312_table_04.csv
313,0,9,5,page_0313_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CORONA Remedies Limited - RHP\dumped_tables\page_0313_table_00.csv
314,0,5,5,page_0314_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CORONA Remedies Limited - RHP\dumped_tables\page_0314_table_00.csv
315,0,3,5,page_0315_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CORONA Remedies Limited - RHP\dumped_tables\page_0315_table_00.csv
315,1,3,5,page_0315_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CORONA Remedies Limited - RHP\dumped_tables\page_0315_table_01.csv
315,2,3,5,page_0315_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CORONA Remedies Limited - RHP\dumped_tables\page_0315_table_02.csv
315,3,3,5,page_0315_table_03.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CORONA Remedies Limited - RHP\dumped_tables\page_0315_table_03.csv
315,4,2,5,page_0315_table_04.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CORONA Remedies Limited - RHP\dumped_tables\page_0315_table_04.csv
316,0,4,8,page_0316_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CORONA Remedies Limited - RHP\dumped_tables\page_0316_table_00.csv
316,1,4,8,page_0316_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\CORONA Remedies Limited - RHP\dumped_tables\page_0316_table_01.csv
