"Unsecured
-Considered good
Less : Allowance for credit loss
-Credit impaired
Less : Allowance for credit loss
Total trade receivables","1 ,508.69
(0.06)
1.77
(1.77)","1,182.94
(0.06)
1.21
(1.21)","999.36
(0.02)
1 .36
(1.36)","870.08
( 0.17)
2.74
( 2.74)"
,"1 ,508.63","1,182.88",999.34,869.91
Particulars,Non current,,,
,"As at
30 June 2025","As at
31 March 2025","As at
31 March 2024","As at
31 March 2023"
"[Unsecured and considered good, unless otherwise
stated]
Loans to Employees
Total loans",0 .15,0.26,0.96,-
,0 .15,0.26,0.96,-
Particulars,Current,,,
,"As at
30 June 2025","As at
31 March 2025","As at
31 March 2024","As at
31 March 2023"
"[Unsecured and considered good, unless otherwise
stated]
Loans to Employees
Total loans",2 .15,3.77,3.74,4.38
,2 .15,3.77,3.74,4.38
