"As at
September 30, 2025","As at
September 30, 2024","As at
March 31, 2025","As at
March 31, 2024"
"6 49
1 ,411
3 ,690
1 ,587
3 54
3 ,820
6 6
1 25
1 86
6 21
2 75
1 0","2 41
1 ,090
3 ,525
1 ,230
4 6
4 ,065
9 5
5 0
1 74
5 75
2 34
7","3 16
1 ,602
3 ,582
1 ,370
1 37
4 ,258
6 4
9
1 81
5 61
1 88
62","2 27
1 ,166
3 ,513
1 ,356
5 9
4 ,259
7 9
9
1 64
4 79
1 93
1 2"
"12,794","11,332","1 2,330","1 1,516"
"6 ,717
6 ,200
1 ,102
3
3 23
2 0
2 ,495","3 ,356
5 ,818
1 ,402
1 13
2 90
4 6
2 ,074","5 ,614
5 ,848
2 ,649
2 34
3 03
39
1 ,559","4 ,455
5 ,333
8 12
6 6
2 82
6 5
1 ,391"
"16,860","13,099","1 6,246","1 2,404"
"29,654","24,431","2 8,576","2 3,920"
"1 42
19,584","3 1
15,415","31
1 7,501","3 1
1 4,026"
"19,726
6 9","15,446
1 13","1 7,532
1 22","1 4,057
1 42"
"19,795","15,559","1 7,654","1 4,199"
"2 ,639
1 ,102
4 52
1 85
6 88","2 ,563
8 65
4 10
2 72
6 46","2 ,577
1 ,272
4 50
1 88
6 88","2 ,501
9 13
3 10
1 87
1 ,016"
"5 ,066","4 ,756","5 ,175","4 ,927"
"1 07
3 82
6 3
7 66
2 ,034
1 ,242
5 3
1 46","5 9
2 20
6 7
6 64
1 ,628
1 ,248
9 2
1 38","8 5
3 56
1 02
5 18
2 ,913
1 ,647
64
6 2","-
2 18
4 0
4 72
2 ,454
1 ,408
1 48
5 4"
"4 ,793","4 ,116","5 ,747","4 ,794"
"9 ,859","8 ,872","1 0,922","9 ,721"
"29,654","24,431","2 8,576","2 3,920"
