"Period ended
September 30, 2025","Period ended
September 30, 2024","Year ended
March 31, 2025","Year ended
March 31, 2024"
"988
422
213
231
(17)
(173)
115
(8)
445
-
-
(2)
-
(145)
270
-
3
(10)
4 8","501
290
152
367
(20)
(144)
5 3
(6)
215
-
(21)
-
5 0
2
418
(59)
(0)
(1)
-","2,380
683
340
572
(42)
(276)
6 5
(13)
297
-
(297)
-
2 7
(84)
798
(59)
2 3
1 7
-","(305)
583
249
445
(30)
(285)
(51)
(12)
163
-
5 5
-
-
4 1
963
5
1
4 3
-"
"2,380
9 7
1
-
(874)
7
(109)
(6)
( 1,008)
3 7
(437)","1,797
(486)
6
(18)
(684)
5
219
6 0
(565)
8 0
(160)","4,431
(452)
(11)
(46)
(135)
(5)
108
120
309
(9)
217","1,865
(398)
(8)
(13)
(257)
2 8
(58)
170
310
124
155"
8 8,254,"4,527","1,918"
(302),(175),(557),(323)
(214),7 9,"3,970","1,595"
"(1,242)
-
-
-
-
115
-
( 6,092)
5,188
1 0","(507)
-
(15)
-
-
(87)
-
( 1,570)
2,813
1 2","(828)
-
(15)
-
-
(167)
-
( 7,308)
6,482
2 6","(245)
-
(0)
5
(4)
7 6
(16)
( 8,203)
6,866
2 0"
"( 2,021)",646,"( 1,810)","( 1,501)"
"985
2 6
(254)
(130)
(34)","222
-
(174)
(181)
(13)","501
-
(371)
(314)
(40)","100
0
(313)
(401)
(836)"
593,(146),(224),"( 1,450)"
"( 1,642)",579,"1,936","( 1,356)"
"2,649
-
9 5","812
-
1 1","812
-
(99)","2,132
-
3 6"
"1,102","1,402","2,649",812
"0
1,102","0
1,402","0
2,649","0
812"
"1,102","1,402","2,649",812
