Name of the Entity,Name of the Counterparty,Nature of Transactions,"Period ended
September 30, 2025","Period ended
September 30, 2024","Year ended
March 31, 2025","Year ended
March 31, 2024","Year ended
March 31, 2023"
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Eugenie Technologies Private Limited,"Reimbursement of common expenses from (creating
receivable position)",-,-,-,2,8
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Eugenie Technologies Private Limited,Intercorporate loan/ advance given (asset),-,4,4,-,10
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Eugenie Technologies Private Limited,"Intercorporate loans/advances with interest recovered
from subsidiaries (asset)",-,4,4,10,17
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Eugenie Technologies Private Limited,Interest Income,-,0,0,0,1
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Eugenie Technologies Private Limited,"Reimbursement of expenses from (creating receivable
position)",-,-,-,5,7
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Eugenie Technologies Private Limited,"Expenses incurred for the company to(creating payable
position)",-,0,0,1,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Eugenie Technologies Private Limited,"Redemption of investment in 0.1% Optional Convertible
Debentures",-,-,-,92,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Eugenie Technologies Private Limited,Sundry balance written off,-,-,53,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)","Reimbursement of common expenses from (creating
receivable position)",2,4,5,9,5
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)","Reimbursement of expenses from (creating receivable
position)",44,26,52,52,27
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)","Expenses incurred for the company to(creating payable
position)",1,0,0,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Asper.AI Inc (Formerly known as Samya.AI Inc),"Reimbursement of expenses from (creating receivable
position)",0,0,0,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Asper.AI Inc (Formerly known as Samya.AI Inc),Sale of investment in equity instruments of subsidiary,-,-,-,138,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Asper.AI Limited,UK (Formerly known as
Samya.AI Limited)","Expenses incurred for the company to(creating payable
position)",-,-,1,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,"Impairment provision for investment in equity
instruments in subsidiary",184,-,-,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,Provision for doubtful receivables and loans,-,68,101,98,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,"Reimbursement of common expenses from (creating
receivable position)",-,2,0,10,6
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,Revenue from operation,1,7,2,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,Passthrough revenue,4,2,6,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,Cost of delivery,-,-,1,13,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,Deemed Investment in subsidiary company,-,3,174,19,36
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,Intercorporate loan/ advance given (asset),29,49,49,120,116
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,Interest Income,7,1,2,1,4
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,"Reimbursement of expenses from (creating receivable
position)",3,3,7,7,14
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,"Expenses incurred for the company to(creating payable
position)",19,1,1,5,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,"Purchase of business under business transfer
arrangement",-,0,0,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,Sundry balance written off,-,-,33,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,Reversal of provision for doubtful receivables and loans,-,-,200,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,Provision for impairment on deemed investment,-,-,169,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Neal Analytics Services Private Limited,Intercorporate loan/ advance given (asset),-,-,-,-,11
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Neal Analytics Services Private Limited,"Intercorporate loans/advances with interest recovered
from subsidiaries (asset)",-,-,-,-,11
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Neal Analytics Services Private Limited,Interest Income,-,-,-,-,0
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Neal Analytics Services Private Limited,"Reimbursement of expenses from (creating receivable
position)",-,-,-,-,0
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Neal Analytics Services Private Limited,"Expenses incurred for the company to(creating payable
position)",-,-,-,1,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Neal Analytics Services Private Limited,"Purchase of business under business transfer
arrangement",-,-,-,-,78
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Neal Analytics LLC,Deemed Investment in subsidiary company,-,-,-,-,19
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Alpha Private Limited,Provision for impairment of equity investment,-,-,-,5,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Alpha Private Limited,Provision for doubtful receivables and loans,-,-,-,1,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Alpha Private Limited,Intercorporate loan/ advance given (asset),-,-,-,1,1
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Alpha Private Limited,"Intercorporate loans/advances with interest recovered
from subsidiaries (asset)",-,-,-,-,1
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Alpha Private Limited,Interest Income,-,0,0,0,0
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Alpha Private Limited,"Expenses incurred for the company to(creating payable
position)",-,-,-,0,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Alpha Private Limited,Provision for impairment of deemed investment,-,-,1,-,-
