Name of the Entity,Name of the Counterparty,Nature of Closing Balances,"Period ended
September 30, 2025","Period ended
September 30, 2024","As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
Senseforth AI Research Private Limited,"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)","Trade and other receivables including unbilled
receivables",0,-,-,-,-
"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)",Senseforth AI Research Private Limited,Trade and other payables,0,-,-,-,-
"Fractal Analytics Inc, USA","Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)",Advance from customers,0,-,-,-,-
"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)","Fractal Analytics Inc, USA",Advance to vendors,0,-,-,-,-
"Fractal Analytics Inc, USA",Fractal Analytics Sweden AB,"Provision for Impairment of trade, unbilled and other
receivables",0,-,-,-,-
"Fractal Analytics Inc, USA",Senseforth AI Research Pvt. Ltd.,"Provision for Impairment of trade, unbilled and other
receivables",19,-,-,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal AI Ltd. Abu Dhabi,"Trade and other receivables including unbilled
receivables",0,-,-,-,-
Fractal AI Ltd. Abu Dhabi,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Trade and other payables,0,-,-,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal AI Ltd. Abu Dhabi,Deemed Investment in subsidiary company,0,-,-,-,-
Fractal AI Ltd. Abu Dhabi,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Deemed capital contribution,0,-,-,-,-
"Fractal Analytics Inc, USA",Fractal Analytics Sweden AB,Advance to vendors,0,-,-,-,-
Fractal Analytics Sweden AB,"Fractal Analytics Inc, USA",Advance from customers,0,-,-,-,-
Qure.ai Technologies Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Trade and other receivables including unbilled
receivables",4,-,-,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,"Impairment provision for investment in equity
instruments in subsidiary",159,-,-,-,-
Analytics Vidhya Educon Private Limited,"Analytics Vidhya Inc., USA","Trade and other receivables including unbilled
receivables",1,-,22,-,-
Analytics Vidhya Educon Private Limited,"Analytics Vidhya Inc., USA",Investment in Common stock,0,-,-,-,-
"Analytics Vidhya Inc., USA",Analytics Vidhya Educon Private Limited,Trade and other payables,1,-,22,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,Trade and other payables,13,-,-,-,-
Senseforth AI Research Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Trade and other receivables including unbilled receivables,13,-,-,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Senseforth AI Research Private Limited,"Impairment provision for deemed investment in
subsidiaries",172,-,-,-,-
