"Net Assets i.e. Total Assets minus
Total Liabilities",,Share in Profit or Loss,,Share in OCI,,
"As % of
Consolidated
Net Assets",Amount,"As % of
Consolidated
Profit or Loss",Amount,"As % of
Consolidated
OCI",Amount,"As % of
Consolidated
Total
Comprehensive
Income"
116%,"1 8,041",76%,5 54,481%,( 43),71%
-5%,( 744),7%,5 2,0%,-,7%
1%,1 38,0%,4,0%,-,1%
0%,6,0%,( 0),0%,-,0%
1%,1 69,0%,5,0%,-,1%
0%,( 10),1%,8,0%,-,1%
0%,( 34),0%,( 1),17%,( 2),0%
0%,( 1),0%,( 0),0%,-,0%
-2%,( 349),-12%,( 87),1%,( 0),-12%
0%,( 12),-6%,( 44),-1%,0,-6%
1%,8 5,0%,2,0%,-,0%
4%,6 74,7%,4 8,0%,-,7%
0%,( 0),0%,-,0%,-,0%
-3%,( 516),-22%,( 158),0%,-,-22%
1%,1 60,3%,1 9,-1%,0,3%
0%,5 4,0%,0,0%,-,0%
0%,5,0%,0,0%,-,0%
0%,-,0%,-,0%,-,0%
0%,2 1,0%,1,0%,-,0%
0%,5,0%,( 1),0%,-,0%
0%,9,0%,( 0),0%,-,0%
0%,9 4,2%,1 3,0%,-,2%
0%,1 7,0%,4,0%,-,1%
1%,1 20,3%,2 5,0%,-,3%
0%,( 1),0%,( 2),0%,-,0%
0%,3 4,0%,0,0%,-,0%
0%,1 6,1%,6,0%,-,1%
0%,0,0%,0,0%,-,0%
0%,( 2),0%,( 1),0%,-,0%
0%,3 0,0%,2,0%,-,0%
-2%,( 281),1%,4,0%,-,1%
0%,( 0),0%,( 0),0%,-,0%
-2%,( 383),-1%,( 8),0%,-,-1%
0%,-,0%,-,0%,-,0%
0%,4,1%,4,0%,0,1%
112%,"1 7,349",62%,4 49,497%,( 45),56%
-39%,"( 5,968)",71%,5 20,-401%,3 6,77%
26%,"4 ,065",-29%,( 215),4%,( 0),-30%
1%,1 13,-3%,( 25),0%,( 0),-3%
100%,"15,559",100%,729,100%,(9),100%
