"Net Assets i.e. Total Assets
minus Total Liabilities",,Share in Profit or Loss,,Share in OCI,,
"As % of
Consolidated
Net Assets",Amount,"As % of
Consolidated
Profit or Loss",Amount,"As % of
Consolidated OCI",Amount,"As % of
Consolidated
Total
Comprehensive
Income"
119%,"1 6,898",-146%,799,93%,4 5,-169%
-4%,( 587),120%,( 656),0%,-,0%
1%,132,0%,3,0%,-,0%
0%,6,-145%,795,0%,-,-159%
1%,165,-3%,1 8,0%,-,-4%
0%,( 16),4%,( 23),0%,-,5%
0%,( 35),-1%,6,5%,3,-2%
0%,( 1),0%,( 0),0%,-,0%
1%,140,-6%,3 1,-2%,( 1),0%
-2%,( 265),17%,( 94),6%,3,0%
0%,3 2,21%,( 115),0%,0,0%
1%,8 3,0%,2,0%,-,0%
4%,553,-15%,8 3,0%,-,0%
0%,-,0%,-,0%,-,0%
-3%,( 361),55%,( 298),0%,-,60%
0%,5 4,9%,( 52),0%,-,10%
0%,4,0%,0,0%,-,0%
2%,253,-9%,4 8,0%,-,-10%
0%,1 8,0%,2,0%,-,0%
0%,5,0%,( 0),0%,-,0%
0%,9,0%,0,0%,-,0%
1%,8 0,-5%,2 6,0%,-,-5%
0%,1 2,-1%,5,0%,-,-1%
1%,8 8,-4%,2 3,0%,-,-5%
0%,1,0%,0,0%,-,0%
0%,3 3,-1%,3,0%,-,-1%
0%,1 0,-1%,7,0%,-,-1%
0%,( 2),0%,( 1),0%,-,0%
0%,2 9,-1%,3,0%,-,-1%
-2%,( 284),0%,3,0%,-,-1%
0%,( 0),-79%,430,0%,-,-86%
-3%,( 373),17%,( 93),0%,-,19%
0%,-,0%,-,0%,-,0%
117%,"1 6,681",-176%,955,102%,5 0,-202%
-42%,"( 5,867)",222%,"( 1,211)",0%,( 0),244%
23%,"3 ,243",40%,( 219),-2%,( 2),44%
1%,142,13%,( 72),0%,( 0),14%
100%,"14,199",100%,(547),100%,48,100%
