"Net Assets i.e. Total Assets
minus Total Liabilities",,Share In Profit or Loss,,Share In OCI,,
"As % of
Consolidated
Net Assets",Amount,"As % of
Consolidated
Profit or Loss",Amount,"As % of
Consolidated OCI",Amount,"As % of
Consolidated
Total
Comprehensive
Income"
112%,"1 5,005",-28%,(560),20%,2 0,-25%
6%,7 46,-63%,"(1,272)",0%,-,-60%
1%,1 17,0%,7,0%,-,0%
-6%,( 791),-16%,(324),0%,0,-15%
1%,1 47,1%,1 7,0%,( 0),1%
0%,8,-6%,(129),0%,0,-6%
0%,( 44),1%,1 6,-1%,( 1),1%
0%,( 0),0%,(5),0%,-,0%
1%,1 09,1%,2 4,0%,0,1%
-1%,( 193),-13%,(259),-1%,( 1),-12%
1%,1 36,-7%,(143),0%,0,-7%
1%,8 1,2%,3 3,-2%,( 2),1%
3%,3 53,8%,1 64,0%,-,8%
-3%,( 432),1%,2 8,0%,-,1%
0%,( 62),-13%,(272),0%,-,-13%
1%,1 04,-3%,(54),0%,-,-3%
0%,4,0%,0,0%,-,0%
2%,2 43,-10%,(207),0%,-,-10%
0%,1 6,0%,0,0%,-,0%
0%,6,0%,0,0%,-,0%
0%,9,0%,3,0%,-,0%
0%,5 4,2%,3 5,0%,-,2%
0%,7,0%,5,0%,-,0%
0%,6 6,2%,3 6,0%,-,2%
0%,1,0%,0,0%,-,0%
0%,3 1,0%,3,0%,-,0%
0%,( 0),0%,(0),0%,-,0%
0%,2 8,0%,6,0%,-,0%
-2%,( 283),-1%,(30),0%,-,-1%
-3%,( 424),-21%,(427),0%,-,-20%
-2%,( 262),-11%,(231),0%,-,-11%
0%,-,0%,-,0%,-,0%
112%,"1 4,780",-174%,"(3,536)",16%,1 6,-172%
-46%,"( 5,828)",572%,"1 1,266",83%,8 0,556%
33%,"4 ,479",-293%,"(5,700)",1%,1,-279%
1%,2 03,-4%,(86),0%,-,-4%
100%,"13,634",100%,"1,944",100%,97,100%
