page,table_index,rows,cols,csv_file,csv_path
422,1,2,6,page_0422_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0422_table_01.csv
423,0,15,4,page_0423_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0423_table_00.csv
424,0,17,4,page_0424_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0424_table_00.csv
425,0,22,6,page_0425_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0425_table_00.csv
427,0,15,4,page_0427_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0427_table_00.csv
431,0,5,2,page_0431_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0431_table_00.csv
432,0,7,2,page_0432_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0432_table_00.csv
437,0,2,5,page_0437_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0437_table_00.csv
438,0,3,5,page_0438_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0438_table_00.csv
439,0,2,5,page_0439_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0439_table_00.csv
451,0,3,4,page_0451_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0451_table_00.csv
452,0,9,4,page_0452_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0452_table_00.csv
453,0,4,5,page_0453_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0453_table_00.csv
453,1,5,7,page_0453_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0453_table_01.csv
455,0,2,4,page_0455_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0455_table_00.csv
455,1,3,4,page_0455_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0455_table_01.csv
455,2,6,4,page_0455_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0455_table_02.csv
464,0,5,4,page_0464_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0464_table_00.csv
464,1,3,4,page_0464_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0464_table_01.csv
464,2,3,4,page_0464_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0464_table_02.csv
464,3,3,4,page_0464_table_03.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0464_table_03.csv
464,4,2,4,page_0464_table_04.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0464_table_04.csv
465,0,2,4,page_0465_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0465_table_00.csv
465,1,2,4,page_0465_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0465_table_01.csv
465,2,2,4,page_0465_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0465_table_02.csv
465,3,6,5,page_0465_table_03.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0465_table_03.csv
466,0,2,4,page_0466_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0466_table_00.csv
466,1,2,4,page_0466_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0466_table_01.csv
466,2,2,4,page_0466_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0466_table_02.csv
466,3,2,4,page_0466_table_03.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0466_table_03.csv
466,4,2,4,page_0466_table_04.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0466_table_04.csv
466,5,2,4,page_0466_table_05.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0466_table_05.csv
466,6,2,4,page_0466_table_06.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0466_table_06.csv
467,2,2,5,page_0467_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0467_table_02.csv
467,3,2,5,page_0467_table_03.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0467_table_03.csv
468,0,54,8,page_0468_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0468_table_00.csv
469,0,53,8,page_0469_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0469_table_00.csv
470,0,75,8,page_0470_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0470_table_00.csv
471,0,65,8,page_0471_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0471_table_00.csv
472,0,64,8,page_0472_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0472_table_00.csv
473,0,64,8,page_0473_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0473_table_00.csv
474,0,61,8,page_0474_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0474_table_00.csv
475,0,55,8,page_0475_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0475_table_00.csv
476,0,64,8,page_0476_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0476_table_00.csv
477,0,78,8,page_0477_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0477_table_00.csv
478,0,63,8,page_0478_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0478_table_00.csv
479,0,64,8,page_0479_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0479_table_00.csv
480,0,21,8,page_0480_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0480_table_00.csv
481,0,3,4,page_0481_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\FRACTAL ANALYTICS LIMITED - RHP\dumped_tables\page_0481_table_00.csv
