"Period ended
September 30, 2025","Period ended
September 30, 2024","Year ended
March 31, 2025","Year ended
March 31, 2024"
"15,590
353","1 3,007
219","27,654
5 08","21,963
4 56"
"15,943","1 3,226","28,162","22,419"
"11,252
270
233
635
2,072","9 ,717
418
367
442
1 ,537","20,048
7 98
5 77
1 ,023
3 ,309","17,370
9 63
4 45
8 32
2 ,896"
"14,462","1 2,481","25,755","22,506"
"1,481",745,"2 ,407",(87)
( 445),( 215),(297),(163)
"1,036",530,"2 ,110",(250)
(48),( 29),2 70,(55)
988,501,"2 ,380",(305)
"284
(5)","220
( 448)","5 57
( 383)","3 25
( 83)"
279,( 228),1 74,2 42
709,729,"2 ,206",(547)
"51
(12)
( 177)
50
32
7
151","( 8)
2
( 65)
1 7
1 2
(0)
3 3","1 6
( 4)
( 88)
2 3
1 6
(1)
( 12)","2 3
( 6)
5 0
( 7)
( 11)
( 2)
1"
102,( 9),(50),4 8
811,720,"2 ,156",(499)
"718
(9)
709
102
0
102
820
(9)
811
4.55
4.09","754
( 25)
729
( 9)
0
( 9)
745
( 25)
720
4.92
4.52","2 ,230
(24)
2 ,206
(50)
0
(50)
2 ,180
(24)
2 ,156
1 4.49
1 3.36","(475)
(72)
(547)
4 8
0
4 8
(427)
(72)
(499)
(3.12)
(3.12)"
