Name of the Entity,Name of the Counterparty,Nature of Transactions,"Period ended
September 30, 2025","Period ended
September 30, 2024","Year ended
March 31, 2025","Year ended
March 31, 2024","Year ended
March 31, 2023"
"Fractal Private Limited, Singapore","Fractal Analytics Inc, USA",Cost of delivery,32,57,100,66,35
"Fractal Private Limited, Singapore",Fractal AI Ltd. Abu Dhabi,"Reimbursement of expenses from (creating receivable
position)",-,-,12,-,-
Cuddle Artificial Intelligence Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Allocation of shared expenses incurred by the holding
company (creating payable position)",-,-,-,-,8
Cuddle Artificial Intelligence Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Collection for the group company,-,2,2,-,-
Cuddle Artificial Intelligence Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Revenue from operation,-,-,-,1,11
Cuddle Artificial Intelligence Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Inter-company loan taken(Liability),-,-,-,-,155
Cuddle Artificial Intelligence Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Intercorporate loans/advances with interest repaid by
subsidiaries(liability)",-,-,-,-,88
Cuddle Artificial Intelligence Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Interest expense,-,-,-,3,17
Cuddle Artificial Intelligence Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Expenses incurred for the company to(creating payable
position)",-,-,-,2,10
Cuddle Artificial Intelligence Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Slump sale consideration received,-,-,-,84,-
Cuddle Artificial Intelligence Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Write back intercorporate loans taken,-,-,-,170,-
Cuddle Artificial Intelligence Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Write back interest payable on loan,-,-,-,34,-
Cuddle Artificial Intelligence Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Write back intercompany trade payable,-,-,-,156,-
Cuddle Artificial Intelligence Private Limited,"Fractal Analytics Inc, USA",Revenue from operation,-,-,-,6,61
Cuddle Artificial Intelligence Private Limited,"Fractal Analytics Inc, USA",Write back intercompany trade payable,-,-,-,35,-
Cuddle Artificial Intelligence Private Limited,"Cuddle.ai Inc, USA","Impairment provision for deemed investment in
subsidiaries",-,-,-,-,3
Cuddle Artificial Intelligence Private Limited,"Cuddle.ai Inc, USA","Impairment provision reversal for deemed investment in
subsidiaries",-,-,-,3,-
Cuddle Artificial Intelligence Private Limited,"Cuddle.ai Inc, USA",Revenue from operation,-,-,-,-,2
Cuddle Artificial Intelligence Private Limited,"Cuddle.ai Inc, USA",Deemed Investment in subsidiary company,-,-,-,-,1
Cuddle Artificial Intelligence Private Limited,"Cuddle.ai Inc, USA","Expenses incurred for the company to(creating payable
position)",-,-,-,-,2
Cuddle Artificial Intelligence Private Limited,"Cuddle.ai Inc, USA",Marketing support services availed from,-,-,-,-,162
Cuddle Artificial Intelligence Private Limited,"Cuddle.ai Inc, USA",Write off deemed investment,-,-,-,3,-
Cuddle Artificial Intelligence Private Limited,"Cuddle.ai Inc, USA",Write back intercompany trade payable,-,-,-,433,-
"Cuddle.ai Inc, USA","Fractal Analytics Inc, USA",Inter-company loan taken(Liability),-,-,-,36,142
"Cuddle.ai Inc, USA","Fractal Analytics Inc, USA",Interest expense,-,-,-,-,7
"Cuddle.ai Inc, USA","Fractal Analytics Inc, USA","Expenses incurred for the company to(creating payable
position)",-,-,-,-,11
"Cuddle.ai Inc, USA","Fractal Analytics Inc, USA",Write back interest payable on loan,-,-,-,7,-
"Cuddle.ai Inc, USA","Fractal Analytics Inc, USA",Write back intercorporate loans taken,-,-,-,179,-
"Cuddle.ai Inc, USA","Fractal Analytics Inc, USA",Receivable balances of subsidairies written back,-,-,-,265,-
"Cuddle.ai Inc, USA",Cuddle Artificial Intelligence Private Limited,Reversal of provision for doubtful receivables and loans,-,-,-,272,-
"Cuddle.ai Inc, USA",Cuddle Artificial Intelligence Private Limited,Cost of delivery,-,-,-,-,2
"Cuddle.ai Inc, USA",Cuddle Artificial Intelligence Private Limited,Deemed capital contribution,-,-,-,-,1
"Cuddle.ai Inc, USA",Cuddle Artificial Intelligence Private Limited,"Reimbursement of expenses from (creating receivable
position)",-,-,-,-,2
"Cuddle.ai Inc, USA",Cuddle Artificial Intelligence Private Limited,Receivable balances of subsidairies written off,-,-,-,272,-
Qure.ai Technologies Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Reimbursement of expenses from (creating receivable
position)",9,-,8,-,-
Qure.ai Technologies Private Limited,Qure Technologies Inc.,"Reimbursement of expenses from (creating receivable
position)",-,-,-,-,7
Qure.ai Technologies Private Limited,Qure Technologies Inc.,"Expenses incurred for the company to(creating payable
position)",-,-,-,-,17
Qure.ai Technologies Private Limited,Qure Technologies Inc.,Marketing support services availed from,-,-,-,-,153
Qure.ai Technologies Private Limited,Eugenie Technologies Private Limited,"Expenses incurred for the company to(creating payable
position)",-,-,-,-,1
Qure.ai Technologies Private Limited,"Qure.ai Technologies Limited, UK",Marketing support services availed from,-,-,-,-,125
Qure.ai Technologies Private Limited,Mr.Prashant Warier,Employee stock option expenses,-,-,-,-,11
Qure Technologies Inc.,"Fractal Analytics Inc, USA","Expenses incurred for the company to(creating payable
position)",-,-,-,8,-
Qure Technologies Inc.,Qure.ai Technologies Private Limited,"Expenses incurred for the company to(creating payable
position)",-,-,-,-,7
Qure Technologies Inc.,Qure.ai Technologies Private Limited,"Reimbursement of expenses from (creating receivable
position)",-,-,-,-,17
Qure Technologies Inc.,Qure.ai Technologies Private Limited,Marketing support services given,-,-,-,-,153
Final Mile Consulting Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Allocation of shared expenses incurred by the holding
company (creating payable position)",-,-,-,-,4
