Name of the Entity,Name of the Counterparty,Nature of Closing Balances,"Period ended
September 30, 2025","Period ended
September 30, 2024","As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
Asper.AI Inc (Formerly known as Samya.AI Inc),"Asper.AI Limited,UK (Formerly known as
Samya.AI Limited)",Trade and other payables,23,3,1,3,1
Asper.AI Inc (Formerly known as Samya.AI Inc),"Asper.AI Limited,UK (Formerly known as
Samya.AI Limited)","Trade and other receivables including unbilled
receivables",76,24,38,11,-
Asper.AI Inc (Formerly known as Samya.AI Inc),"Asper.AI Limited,UK (Formerly known as
Samya.AI Limited)",Investment in common stock,5,5,5,5,5
"Asper.AI Limited,UK (Formerly known as
Samya.AI Limited)","Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Trade and other receivables including unbilled
receivables",-,1,0,-,-
"Asper.AI Limited,UK (Formerly known as
Samya.AI Limited)","Fractal Analytics Inc, USA","Trade and other receivables including unbilled
receivables",-,0,-,0,-
"Asper.AI Limited,UK (Formerly known as
Samya.AI Limited)","Fractal Analytics UK Limited, UK",Trade and other payables,1,-,0,-,-
"Asper.AI Limited,UK (Formerly known as
Samya.AI Limited)",Asper.AI Inc (Formerly known as Samya.AI Inc),Trade and other payables,76,24,38,11,-
"Asper.AI Limited,UK (Formerly known as
Samya.AI Limited)",Asper.AI Inc (Formerly known as Samya.AI Inc),"Trade and other receivables including unbilled
receivables",23,3,1,3,1
Senseforth AI Research Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Inter corporate loan/advances taken,209,289,180,236,116
Senseforth AI Research Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Capital Contribution(ESOP),258,68,259,65,46
Senseforth AI Research Private Limited,"Fractal Analytics Inc, USA",Advance from customers,-,-,-,1,-
Senseforth AI Research Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Interest accrued and but not due(payable),7,26,-,16,4
Senseforth AI Research Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Trade and other payables,57,28,29,11,23
Senseforth AI Research Private Limited,"Fractal Analytics Inc, USA",Trade and other payables,19,8,15,-,-
